Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-14,ASTRAL,Astral Poly Technik Limited,Bought,Bought,8.74%,1592.00
2026-08-14,SOLARINDS,Solar Industries India Limited,Bought,Bought,8.51%,20324.00
2026-08-14,SBICARD,Sbi Cards & Pay Ser Ltd,Sold,Bought,-2.38%,641.00
2026-08-14,PAGEIND,Page Industries Limited,Sold,Bought,-4.64%,36520.00
2026-08-14,OBEROIRLTY,Oberoi Realty Limited,Bought,Bought,2.56%,1846.00
2026-08-14,JIOFIN,Jio Fin Services Ltd,Sold,Bought,-0.18%,255.60
2026-08-14,BDL,Bharat Dynamics Limited,Bought,Bought,2.65%,1375.50
2026-08-14,JUBLFOOD,Jubilant Foodworks Limited,Bought,Bought,1.41%,491.55
2026-08-14,ASHOKLEY,Ashok Leyland Limited,Sold,Bought,-0.27%,176.23
2026-08-14,PRESTIGE,Prestige Estates Projects Limited,Bought,Bought,1.77%,1618.90
2026-08-14,ADANIENSOL,Adani Energy Solution Ltd,Sold,Bought,-1%,1583.00
2026-08-14,CONCOR,Container Corporation of India Limited,Bought,Bought,4.22%,533.65
2026-08-14,JSWSTEEL,JSW Steel Limited,Bought,Bought,0.46%,1275.00
2026-08-14,NYKAA,Fsn E Commerce Ventures,Bought,Sold,0.94%,331.15
2026-08-14,COCHINSHIP,Cochin Shipyard Limited,Bought,Bought,0.07%,1507.00
2026-08-14,KALYANKJIL,Kalyan Jewellers Ind Ltd,Bought,Sold,2.8%,613.40
2026-08-14,RADICO,Radico Khaitan Limited,Bought,Bought,3.14%,4675.20
2026-08-14,PETRONET,Petronet LNG Limited,Sold,Bought,-0.2%,279.30
2026-08-14,AMBER,Amber Enterprises,Bought,Bought,2.72%,7175.00
2026-08-14,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Bought,Bought,0.54%,1927.90
2026-08-14,HAVELLS,Havells India Limited,Bought,Sold,0.4%,1270.00
2026-08-14,UNOMINDA,Uno Minda Limited,Bought,Bought,0.62%,1240.00
2026-08-14,BAJAJFINSV,Bajaj Finserv Limited,Bought,Bought,0.22%,2025.00
