Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-11,NAUKRI,Info Edge,Bought,Bought,4.63%,1282.00
2026-08-11,POWERINDIA,Abb Power Pro N Sys Ind L,Bought,Bought,10.58%,36050.00
2026-08-11,PAYTM,One 97 Communications Ltd,Bought,Bought,9.88%,1584.10
2026-08-11,PFC,Power Finance Corporation Limited,Sold,Bought,-8.3%,385.15
2026-08-11,INOXWIND,Inox Wind Limited,Sold,Bought,-5.77%,73.50
2026-08-11,KAYNES,Kaynes Technology Ind Ltd,Sold,Sold,-3.14%,3735.10
2026-08-11,BHARATFORG,Bharat Forge Limited,Sold,Bought,-7.6%,2093.10
2026-08-11,AMBER,Amber Enterprises,Sold,Bought,-4.57%,7095.00
2026-08-11,TATASTEEL,Tata Steel Limited,Bought,Bought,1.43%,190.24
2026-08-11,MCX,Multi Commodity Exchange of India Limited,Bought,Sold,4.6%,2759.30
2026-08-11,TITAN,Titan Company Limited,Bought,Bought,3.02%,5090.00
2026-08-11,RECLTD,Rural Electrification Corporation Limited,Sold,Bought,-6.34%,343.75
2026-08-11,SAIL,Steel Authority of India Limited,Sold,Bought,-2.34%,172.45
2026-08-11,HDFCLIFE,Hdfc Stand Life In Co Ltd,Bought,Bought,0%,540.00
2026-08-11,CONCOR,Container Corporation of India Limited,Sold,Bought,-0.65%,501.90
2026-08-11,INDUSTOWER,Indus Towers Limited,Sold,Bought,-4.66%,368.00
2026-08-11,VEDL,Vedanta Limited,Bought,Sold,1.72%,283.65
2026-08-11,PAGEIND,Page Industries Limited,Sold,Bought,-3.11%,38660.00
2026-08-11,PATANJALI,Patanjali Foods Limited,Sold,Sold,-0.7%,355.00
2026-08-11,GRASIM,Grasim Industries Limited,Bought,Sold,1.73%,3380.50
2026-08-11,DELHIVERY,Delhivery Limited,Bought,Bought,1.07%,478.35
2026-08-11,JINDALSTEL,Jindal Steel & Power Limited,Bought,Bought,1.99%,1125.00
2026-08-11,NMDC,NMDC Limited,Bought,Bought,0.66%,85.48
2026-08-11,UPL,UPL Limited,Sold,Bought,-1.05%,567.00
2026-08-11,SRF,SRF Limited,Sold,Bought,-0.19%,2610.00
2026-08-11,SBILIFE,Sbi Life Insurance Co Ltd,Sold,Bought,-0.03%,1855.00
2026-08-11,JSWSTEEL,JSW Steel Limited,Bought,Bought,0.19%,1302.00
2026-08-11,IDEA,Idea Cellular Limited,Bought,Bought,1.49%,12.92
2026-08-11,OIL,Oil India Limited,Bought,Bought,2.3%,453.00
2026-08-11,TATAPOWER,Tata Power Company Limited,Bought,Bought,0.38%,382.00
2026-08-11,DALBHARAT,Odisha Cement Limited,Bought,Bought,0.96%,1845.00
2026-08-11,HYUNDAI,Hyundai Motor India Ltd,Bought,Bought,1.02%,2223.00
2026-08-11,LUPIN,Lupin Limited,Sold,Bought,-2.69%,2300.00
2026-08-11,UNITDSPR,United Spirits Limited,Bought,Bought,0.63%,1522.00
2026-08-11,COALINDIA,Coal India Limited,Sold,Sold,-1.02%,411.00
2026-08-11,MAXHEALTH,Max Healthcare Ins Ltd,Sold,Bought,-0.09%,1069.00
2026-08-11,ICICIGI,Icici Lombard Gic Limited,Bought,Bought,0.6%,1648.80
2026-08-11,BSE,Bse Limited,Bought,Sold,4.02%,3596.10
2026-08-11,ASTRAL,Astral Poly Technik Limited,Sold,Bought,-0.48%,1437.00
2026-08-11,DRREDDY,Dr. Reddy's Laboratories Limited,Sold,Sold,-1.13%,1158.80
2026-08-11,TATACONSUM,Tata Consumer Product Ltd,Bought,Sold,2.44%,1108.70
2026-08-11,NYKAA,Fsn E Commerce Ventures,Sold,Bought,-2.5%,323.70
2026-08-11,KOTAKBANK,Kotak Mahindra Bank Limited,Bought,Sold,0.7%,393.50
2026-08-11,PHOENIXLTD,The Phoenix Mills Limited,Bought,Bought,2.08%,1935.00
2026-08-11,SBICARD,Sbi Cards & Pay Ser Ltd,Sold,Bought,-0.61%,655.00
2026-08-11,POLICYBZR,Pb Fintech Limited,Bought,Sold,1.59%,1630.00
2026-08-11,ITC,ITC Limited,Sold,Bought,-1.21%,282.65
2026-08-11,CAMS,Computer Age Mngt Ser Ltd,Bought,Sold,0.25%,789.45
2026-08-11,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Sold,Bought,-0.37%,8912.00
