Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-17,ICICIGI,Icici Lombard Gic Limited,Sold,Bought,-10.51%,1623.80
2026-07-17,RBLBANK,RBL Bank,Sold,Bought,-2.68%,362.80
2026-07-17,TORNTPHARM,Torrent Pharmaceuticals Limited,Sold,Bought,-0.6%,4987.60
2026-07-17,DIXON,Dixon Techno,Bought,Bought,6.27%,14507.00
2026-07-17,SRF,SRF Limited,Bought,Bought,4.1%,2889.30
2026-07-17,SIEMENS,Siemens Limited,Bought,Bought,2.4%,3657.60
2026-07-17,IEX,Indian Energy Exc Ltd,Bought,Sold,4.92%,124.74
2026-07-17,KAYNES,Kaynes Technology Ind Ltd,Bought,Sold,3.04%,3438.80
2026-07-17,PRESTIGE,Prestige Estates Projects Limited,Sold,Bought,-2.63%,1641.70
2026-07-17,AMBER,Amber Enterprises,Bought,Bought,2.11%,8016.50
2026-07-17,FEDERALBNK,The Federal Bank  Limited,Sold,Bought,-0.29%,326.60
2026-07-17,ABB,ABB India Limited,Bought,Bought,6.43%,7667.50
2026-07-17,GODFRYPHLP,Godfrey Phillips India Limited,Bought,Bought,1.76%,2121.60
2026-07-17,AUROPHARMA,Aurobindo Pharma Limited,Sold,Bought,-0.12%,1548.40
2026-07-17,BHEL,Bharat Heavy Electricals Limited,Bought,Bought,4.18%,435.40
2026-07-17,BAJAJFINSV,Bajaj Finserv Limited,Sold,Bought,-0.59%,1838.60
2026-07-17,INDHOTEL,The Indian Hotels Company Limited,Sold,Bought,-1.58%,731.45
2026-07-17,ANGELONE,Angel One Limited,Sold,Bought,-2.5%,334.80
2026-07-17,ADANIENSOL,Adani Energy Solution Ltd,Bought,Bought,0.69%,1689.50
2026-07-17,360ONE,360 One Wam Limited,Sold,Bought,-1.57%,1081.30
2026-07-17,PGEL,PG Electroplast Limited,Bought,Bought,3.53%,620.95
2026-07-17,MANAPPURAM,Manappuram Finance Limited,Sold,Bought,-1.07%,325.10
2026-07-17,NAM-INDIA,Nippon L I A M Ltd,Sold,Bought,-3.74%,1151.50
2026-07-17,SHREECEM,Shree Cements Limited,Bought,Bought,0.28%,27000.00
2026-07-17,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Sold,Bought,-0.15%,1826.40
2026-07-17,MOTHERSON,Samvrdhna Mthrsn Intl Ltd,Bought,Sold,1.08%,143.65
2026-07-17,ASTRAL,Astral Poly Technik Limited,Bought,Sold,1.26%,1377.00
2026-07-17,UPL,UPL Limited,Bought,Bought,4.78%,625.85
2026-07-17,POLYCAB,Polycab India Limited,Sold,Bought,-1.17%,9215.00
2026-07-17,TITAN,Titan Company Limited,Bought,Sold,1.01%,4625.80
2026-07-17,PHOENIXLTD,The Phoenix Mills Limited,Sold,Sold,-2.17%,2086.20
2026-07-17,KFINTECH,Kfin Technologies Limited,Sold,Bought,-2.55%,871.15
2026-07-17,COLPAL,Colgate Palmolive,Sold,Bought,-0.53%,2001.10
2026-07-17,HDFCAMC,Hdfc Amc Limited,Sold,Bought,-4.65%,2602.20
2026-07-17,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Bought,-0.2%,567.60
2026-07-17,TVSMOTOR,TVS Motor Company Limited,Sold,Bought,-1.35%,3563.50
2026-07-17,BAJFINANCE,Bajaj Finance Limited,Bought,Sold,1.6%,1037.60
2026-07-17,RELIANCE,Reliance Industries Limited,Bought,Bought,0.08%,1296.60
2026-07-17,DABUR,Dabur India Limited,Sold,Bought,-0.43%,429.45
2026-07-17,CROMPTON,Crompton Gr. Con,Bought,Bought,0.29%,260.30
2026-07-17,JSWSTEEL,JSW Steel Limited,Sold,Bought,-0.48%,1221.00
2026-07-17,GAIL,GAIL,Sold,Bought,-0.83%,171.71
2026-07-17,TECHM,Tech Mahindra Limited,Bought,Bought,0.77%,1510.30
2026-07-17,HCLTECH,HCL Technologies Limited,Bought,Sold,1.66%,1187.40
2026-07-17,CAMS,Computer Age Mngt Ser Ltd,Sold,Bought,-1.79%,751.10
2026-07-17,POLICYBZR,Pb Fintech Limited,Sold,Bought,-3.09%,1561.10
