Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-13,INDIANB,Indian Bank,Bought,Bought,9.78%,870.70
2026-07-13,CDSL,Central Depo Ser,Bought,Bought,6.34%,1431.90
2026-07-13,CONCOR,Container Corporation of India Limited,Bought,Bought,1.45%,463.75
2026-07-13,ICICIPRULI,ICICI Pru Life,Bought,Bought,4%,510.35
2026-07-13,BANDHANBNK,Bandhan Bank Limited,Bought,Sold,5.07%,210.00
2026-07-13,INOXWIND,Inox Wind Limited,Bought,Bought,0.73%,82.61
2026-07-13,PIDILITIND,Pidilite Industries Limited,Bought,Bought,0.51%,1598.50
2026-07-13,RBLBANK,RBL Bank,Bought,Bought,4.92%,380.65
2026-07-13,RVNL,Rail Vikas Nigam Limited,Bought,Bought,2.85%,232.67
2026-07-13,PAYTM,One 97 Communications Ltd,Bought,Bought,6.25%,1341.80
2026-07-13,ALKEM,Alkem Laboratories Ltd.,Bought,Bought,0.37%,5669.50
2026-07-13,GODREJPROP,Godrej Properties Limited,Bought,Bought,5.08%,2133.00
2026-07-13,PERSISTENT,Persistent Systems Limited,Bought,Sold,4.64%,5053.90
2026-07-13,MANKIND,Mankind Pharma Limited,Sold,Bought,-0.27%,2525.10
2026-07-13,VMM,Vishal Mega Mart Limited,Bought,Sold,1.8%,118.79
2026-07-13,JIOFIN,Jio Fin Services Ltd,Bought,Sold,3.68%,241.96
2026-07-13,IREDA,Ireda 8.80ncdtr I Sr Iiib,Bought,Bought,3.77%,126.40
2026-07-13,TATAELXSI,Tata Elxsi Limited,Bought,Bought,1.9%,3690.30
2026-07-13,INDHOTEL,The Indian Hotels Company Limited,Bought,Bought,2.85%,752.30
2026-07-13,LTM,Ltimindtree Limited,Bought,Bought,4.74%,4037.20
2026-07-13,360ONE,360 One Wam Limited,Bought,Bought,2.62%,1129.00
2026-07-13,KPITTECH,Kpit Technologies Limited,Bought,Sold,2.48%,561.75
2026-07-13,TORNTPHARM,Torrent Pharmaceuticals Limited,Bought,Bought,0.07%,4901.50
2026-07-13,MPHASIS,MphasiS Limited,Bought,Sold,2.68%,2321.90
2026-07-13,DIXON,Dixon Techno,Sold,Bought,-0.42%,13421.00
2026-07-13,SUPREMEIND,Supreme Industries Limited,Bought,Sold,2.82%,3319.60
2026-07-13,PNB,Punjab National Bank,Bought,Bought,1.9%,105.41
2026-07-13,HCLTECH,HCL Technologies Limited,Bought,Sold,1.19%,1164.10
2026-07-13,HINDZINC,Hindustan Zinc Limited,Bought,Bought,1.6%,536.95
2026-07-13,LICHSGFIN,LIC Housing Finance Limited,Bought,Sold,1.73%,549.15
2026-07-13,BAJAJ-AUTO,Bajaj Auto Limited,Bought,Bought,0.01%,10156.00
2026-07-13,HAL,Hindustan Aeronautics Ltd,Bought,Bought,2.92%,4506.80
2026-07-13,JINDALSTEL,Jindal Steel & Power Limited,Bought,Sold,2.09%,1051.30
2026-07-13,VBL,Varun Beverages Limited,Sold,Bought,-0.69%,478.10
2026-07-13,UNIONBANK,Union Bank of India,Bought,Bought,4.61%,164.51
2026-07-13,DLF,DLF Limited,Bought,Bought,3.96%,685.75
2026-07-13,TCS,Tata Consultancy Services Limited,Bought,Bought,0.95%,2069.00
2026-07-13,DELHIVERY,Delhivery Limited,Bought,Bought,0.9%,520.30
2026-07-13,OFSS,Oracle Financial Services Software Limited,Bought,Bought,4.64%,11651.00
2026-07-13,BANKINDIA,Bank of India,Bought,Bought,4.6%,144.90
2026-07-13,COALINDIA,Coal India Limited,Sold,Bought,-0.14%,429.30
2026-07-13,BANKBARODA,Bank of Baroda,Bought,Sold,2.6%,250.95
2026-07-13,TMPV,Tata Motors Pass Veh Ltd,Bought,Bought,1.95%,337.95
2026-07-13,COFORGE,Coforge Limited,Bought,Bought,2.4%,1503.80
2026-07-13,WIPRO,Wipro Limited,Bought,Sold,1.56%,175.46
2026-07-13,CANBK,Canara Bank,Bought,Bought,3.19%,128.78
2026-07-13,CUMMINSIND,Cummins India Limited,Bought,Bought,1.43%,5621.50
2026-07-13,NYKAA,Fsn E Commerce Ventures,Bought,Sold,1.87%,330.10
2026-07-13,POLICYBZR,Pb Fintech Limited,Bought,Bought,0.5%,1580.40
2026-07-13,BLUESTARCO,Blue Star Limited,Bought,Bought,2.87%,1662.00
