Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-04,GODREJCP,Godrej Consumer Products Limited,Sold,Bought,-2.76%,880.00
2026-09-04,RBLBANK,RBL Bank,Bought,Bought,4.8%,408.10
2026-09-04,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bought,Sold,0.59%,11165.00
2026-09-04,SOLARINDS,Solar Industries India Limited,Bought,Bought,4.37%,21500.00
2026-09-04,SWIGGY,Swiggy Limited,Bought,Bought,0.6%,269.30
2026-09-04,IDFCFIRSTB,Idfc First Bank Limited,Bought,Bought,2.83%,87.50
2026-09-04,OBEROIRLTY,Oberoi Realty Limited,Bought,Bought,1.93%,1902.00
2026-09-04,INOXWIND,Inox Wind Limited,Bought,Bought,4.83%,74.00
2026-09-04,MAHABANK,Bank of Maharashtra,Bought,Bought,4.76%,86.32
2026-09-04,PHOENIXLTD,The Phoenix Mills Limited,Bought,Bought,2.08%,1960.00
2026-09-04,DELHIVERY,Delhivery Limited,Bought,Bought,2.1%,464.35
2026-09-04,GRASIM,Grasim Industries Limited,Bought,Sold,0.46%,3310.00
2026-09-04,LICHSGFIN,LIC Housing Finance Limited,Bought,Sold,2.36%,554.00
2026-09-04,PAGEIND,Page Industries Limited,Sold,Bought,-0.93%,35865.00
2026-09-04,INDIANB,Indian Bank,Bought,Bought,1.13%,888.75
2026-09-04,SBICARD,Sbi Cards & Pay Ser Ltd,Bought,Bought,4.07%,661.00
2026-09-04,LICI,Life Insura Corp Of India,Bought,Sold,2.12%,416.90
2026-09-04,GMRAIRPORT,Gmr Airports Limited,Bought,Bought,3.06%,96.87
2026-09-04,SRF,SRF Limited,Bought,Bought,0.72%,2617.00
2026-09-04,APLAPOLLO,APL Apollo Tubes Limited,Sold,Bought,-2.29%,2159.40
2026-09-04,GODREJPROP,Godrej Properties Limited,Bought,Bought,1.56%,2001.50
2026-09-04,PRESTIGE,Prestige Estates Projects Limited,Bought,Bought,2.1%,1615.20
2026-09-04,INDUSTOWER,Indus Towers Limited,Sold,Sold,-1.07%,374.95
2026-09-04,BANKINDIA,Bank of India,Bought,Bought,1.33%,145.00
