Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-09,IEX,Indian Energy Exc Ltd,Sold,Bought,-4.61%,116.81
2026-07-09,LODHA,Macrotech Developers Ltd,Bought,Bought,1.14%,1115.10
2026-07-09,UNOMINDA,Uno Minda Limited,Bought,Bought,0.24%,1131.90
2026-07-09,INDIGO,INTERGLOBE AVIATIO INR10,Sold,Bought,-5.02%,5124.00
2026-07-09,HINDPETRO,Hindustan Petroleum Corporation Limited,Sold,Bought,-4.71%,386.85
2026-07-09,UNITDSPR,United Spirits Limited,Sold,Bought,-2.13%,1408.80
2026-07-09,ASIANPAINT,Asian Paints Limited,Sold,Bought,-2.4%,2665.90
2026-07-09,ASHOKLEY,Ashok Leyland Limited,Sold,Bought,-4.84%,156.22
2026-07-09,FORCEMOT,Force Motors Limited,Sold,Bought,-4.87%,17864.00
2026-07-09,CANBK,Canara Bank,Sold,Bought,-3.1%,121.15
2026-07-09,UPL,UPL Limited,Sold,Bought,-3.19%,581.70
2026-07-09,CONCOR,Container Corporation of India Limited,Sold,Bought,-4.52%,451.40
2026-07-09,OIL,Oil India Limited,Bought,Bought,1.7%,430.35
2026-07-09,BPCL,Bharat Petroleum Corporation Limited,Sold,Bought,-3.31%,303.55
2026-07-09,EXIDEIND,Exide Industries Limited,Bought,Bought,1.65%,421.35
2026-07-09,HAL,Hindustan Aeronautics Ltd,Sold,Bought,-0.81%,4364.70
2026-07-09,SRF,SRF Limited,Sold,Bought,-3.6%,2709.50
2026-07-09,KALYANKJIL,Kalyan Jewellers Ind Ltd,Bought,Bought,5.47%,374.15
2026-07-09,NATIONALUM,National Aluminium Company Limited,Bought,Sold,2.1%,349.75
2026-07-09,LTF,L&t Finance Limited,Sold,Bought,-5.95%,314.30
2026-07-09,BRITANNIA,Britannia Industries Limited,Sold,Bought,-2.41%,5315.50
2026-07-09,IRFC,Bond 8.00% Pa Tax Free S1,Sold,Bought,-2.69%,87.50
2026-07-09,IOC,Indian Oil Corporation Limited,Sold,Bought,-3.2%,137.63
2026-07-09,RVNL,Rail Vikas Nigam Limited,Sold,Bought,-3.41%,224.73
2026-07-09,PATANJALI,Patanjali Foods Limited,Sold,Bought,-1.25%,409.30
2026-07-09,BOSCHLTD,Bosch Limited,Sold,Bought,-0.78%,41610.00
2026-07-09,HYUNDAI,Hyundai Motor India Ltd,Sold,Sold,-3.21%,1916.90
2026-07-09,KFINTECH,Kfin Technologies Limited,Sold,Bought,-2.15%,847.95
2026-07-09,TORNTPHARM,Torrent Pharmaceuticals Limited,Bought,Bought,0.2%,4866.40
2026-07-09,RECLTD,Rural Electrification Corporation Limited,Sold,Bought,-2.11%,348.75
2026-07-09,SHREECEM,Shree Cements Limited,Sold,Sold,-3%,25910.00
2026-07-09,LICHSGFIN,LIC Housing Finance Limited,Sold,Bought,-2.38%,530.60
2026-07-09,NHPC,NHPC Limited,Sold,Bought,-0.1%,78.81
2026-07-09,GAIL,GAIL,Sold,Bought,-2.74%,169.24
2026-07-09,PAGEIND,Page Industries Limited,Sold,Bought,-0.87%,41415.00
2026-07-09,LUPIN,Lupin Limited,Sold,Bought,-1.25%,2459.00
2026-07-09,ICICIGI,Icici Lombard Gic Limited,Bought,Bought,0.55%,1804.20
2026-07-09,NAM-INDIA,Nippon L I A M Ltd,Sold,Bought,-2.06%,1168.00
2026-07-09,APLAPOLLO,APL Apollo Tubes Limited,Sold,Bought,-0.56%,1809.60
2026-07-09,AUROPHARMA,Aurobindo Pharma Limited,Sold,Bought,-1.62%,1557.40
2026-07-09,CGPOWER,Cg Power And Ind Sol Ltd,Sold,Sold,-0.26%,908.10
2026-07-09,INOXWIND,Inox Wind Limited,Sold,Bought,-3.97%,82.72
2026-07-09,CDSL,Central Depo Ser,Sold,Bought,-3.57%,1311.40
2026-07-09,IREDA,Ireda 8.80ncdtr I Sr Iiib,Sold,Bought,-3.19%,121.17
2026-07-09,PNB,Punjab National Bank,Sold,Bought,-2.74%,100.95
2026-07-09,BEL,Bharat Electronics Limited,Sold,Bought,-2.76%,407.60
2026-07-09,BAJAJFINSV,Bajaj Finserv Limited,Sold,Sold,-1.61%,1854.90
2026-07-09,HAVELLS,Havells India Limited,Sold,Bought,-1.4%,1207.80
2026-07-09,AUBANK,Au Small Finance Bank Ltd,Sold,Bought,-2.63%,1038.80
2026-07-09,ZYDUSLIFE,Zydus Lifesciences Ltd,Sold,Bought,-0.43%,1148.00
2026-07-09,ONGC,Oil & Natural Gas Corporation Limited,Bought,Bought,1.15%,247.00
2026-07-09,JIOFIN,Jio Fin Services Ltd,Sold,Bought,-5.38%,229.99
2026-07-09,VEDL,Vedanta Limited,Sold,Bought,-1%,272.30
2026-07-09,GODFRYPHLP,Godfrey Phillips India Limited,Sold,Bought,-2.43%,2082.50
2026-07-09,CROMPTON,Crompton Gr. Con,Sold,Bought,-3.58%,258.90
2026-07-09,SONACOMS,Sona Blw Precision Frgs L,Sold,Bought,-1.36%,662.05
2026-07-09,POLYCAB,Polycab India Limited,Sold,Bought,-1.78%,9234.00
2026-07-09,EICHERMOT,Eicher Motors Limited,Sold,Bought,-1.56%,7418.50
2026-07-09,DALBHARAT,Odisha Cement Limited,Sold,Sold,-3.94%,1718.40
2026-07-09,VMM,Vishal Mega Mart Limited,Sold,Bought,-1.17%,115.91
