Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-06-30,PERSISTENT,Persistent Systems Limited,Sold,Bought,-11.22%,4298.50
2026-06-30,TORNTPHARM,Torrent Pharmaceuticals Limited,Bought,Sold,3.13%,4657.60
2026-06-30,LAURUSLABS,Laurus Labs Limited,Bought,Sold,3.47%,1500.30
2026-06-30,UPL,UPL Limited,Sold,Bought,-3.74%,568.40
2026-06-30,MFSL,MAX FINANCIAL SERV LTD,Sold,Bought,-0.61%,1601.50
2026-06-30,FORTIS,Fortis Healthcare Limited,Sold,Bought,-0.46%,950.40
2026-06-30,LUPIN,Lupin Limited,Bought,Sold,2.81%,2409.30
2026-06-30,ADANIENSOL,Adani Energy Solution Ltd,Sold,Sold,-1.42%,1486.40
2026-06-30,NHPC,NHPC Limited,Bought,Sold,2.73%,81.57
2026-06-30,BHARATFORG,Bharat Forge Limited,Bought,Bought,1.19%,2170.90
2026-06-30,WAAREEENER,Waaree Energies Limited,Sold,Bought,-4.1%,2886.10
2026-06-30,BHEL,Bharat Heavy Electricals Limited,Bought,Sold,2.74%,413.75
2026-06-30,DRREDDY,Dr. Reddy's Laboratories Limited,Bought,Bought,1.87%,1375.70
2026-06-30,INDIANB,Indian Bank,Sold,Bought,-2.15%,814.70
2026-06-30,NYKAA,Fsn E Commerce Ventures,Bought,Bought,0.23%,302.05
2026-06-30,SAIL,Steel Authority of India Limited,Bought,Sold,2.6%,175.23
2026-06-30,AUBANK,Au Small Finance Bank Ltd,Sold,Sold,-0.33%,1030.45
2026-06-30,IDFCFIRSTB,Idfc First Bank Limited,Sold,Sold,-1.29%,78.20
2026-06-30,SBILIFE,Sbi Life Insurance Co Ltd,Bought,Sold,0.6%,1755.40
2026-06-30,SOLARINDS,Solar Industries India Limited,Bought,Sold,2.12%,17798.00
2026-06-30,GLENMARK,Glenmark Pharmaceuticals Limited,Bought,Sold,1.49%,2186.60
2026-06-30,ABB,ABB India Limited,Bought,Bought,1.93%,7128.00
2026-06-30,ADANIPOWER,Adani Power Limited,Sold,Sold,-0.97%,227.05
2026-06-30,CGPOWER,Cg Power And Ind Sol Ltd,Bought,Sold,1.5%,956.25
2026-06-30,ASTRAL,Astral Poly Technik Limited,Sold,Bought,-8%,1368.00
2026-06-30,MARICO,Marico Limited,Bought,Sold,1.71%,839.95
2026-06-30,CUMMINSIND,Cummins India Limited,Sold,Sold,-1.78%,5541.50
2026-06-30,EICHERMOT,Eicher Motors Limited,Sold,Bought,-2.26%,7426.00
2026-06-30,CIPLA,Cipla Limited,Bought,Bought,0.97%,1454.10
2026-06-30,LTF,L&t Finance Limited,Bought,Sold,0.02%,299.05
2026-06-30,POLICYBZR,Pb Fintech Limited,Bought,Sold,0.49%,1623.10
2026-06-30,IEX,Indian Energy Exc Ltd,Sold,Sold,-0.15%,124.81
2026-06-30,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Sold,-0.38%,583.25
2026-06-30,POLYCAB,Polycab India Limited,Bought,Sold,2.6%,9779.00
2026-06-30,GMRAIRPORT,Gmr Airports Limited,Bought,Bought,0.9%,109.42
2026-06-30,POWERINDIA,Abb Power Pro N Sys Ind L,Bought,Sold,2.97%,34975.00
2026-06-30,PAYTM,One 97 Communications Ltd,Bought,Bought,0.74%,1133.10
