Timestamp,Symbol,Signal,Direction,Entry,Stop,Target,RR,VolRatio,Confidence,FII_DII
2026-08-10 09:55:38,JSWENERGY,FIIDII_BRK_LONG_GENERAL,CE,568.80,561.86,586.15,2.50,2.99,VERY_HIGH,STRONG_BUY
2026-08-10 09:55:38,INDHOTEL,FIIDII_BRK_SHORT_GENERAL,PE,722.50,751.95,648.88,2.50,4.96,HIGH,NEUTRAL
2026-08-10 09:55:38,MFSL,FIIDII_BRK_SHORT_GENERAL,PE,1480.10,1535.89,1340.62,2.50,2.64,HIGH,NEUTRAL
2026-08-10 09:55:38,PETRONET,FIIDII_BRK_SHORT_GENERAL,PE,277.70,282.75,265.09,2.50,3.06,HIGH,NEUTRAL
2026-08-10 09:55:38,JSWENERGY,FIIDII_BRK_LONG_FII,CE,568.80,561.86,586.15,2.50,2.99,VERY_HIGH,STRONG_BUY
2026-08-10 09:55:38,COFORGE,FIIDII_BRK_LONG_FII_V2,CE,1801.30,1766.19,1889.09,2.50,2.73,VERY_HIGH,STRONG_BUY
2026-08-10 09:55:38,MPHASIS,FIIDII_BRK_LONG_FII_V2,CE,2497.40,2464.98,2578.44,2.50,2.19,VERY_HIGH,STRONG_BUY
2026-08-10 09:55:38,JSWENERGY,FIIDII_BRK_LONG_FII_V2,CE,568.80,562.31,585.03,2.50,2.99,VERY_HIGH,STRONG_BUY
2026-08-10 10:01:00,NATIONALUM,FIIDII_BRK_LONG_GENERAL,CE,386.70,377.51,409.66,2.50,2.82,HIGH,NEUTRAL
2026-08-10 10:01:00,INFY,FIIDII_BRK_LONG_GENERAL,CE,1187.10,1162.70,1248.10,2.50,2.88,HIGH,NEUTRAL
2026-08-10 10:01:00,TCS,FIIDII_BRK_LONG_GENERAL,CE,2462.30,2427.50,2549.31,2.50,2.75,VERY_HIGH,STRONG_BUY
2026-08-10 10:01:00,LAURUSLABS,FIIDII_BRK_LONG_GENERAL,CE,1858.70,1837.87,1910.78,2.50,2.89,HIGH,NEUTRAL
2026-08-10 10:05:17,ADANIENT,FIIDII_BRK_SHORT_GENERAL,PE,2974.50,3071.69,2731.53,2.50,2.89,HIGH,NEUTRAL
2026-08-10 10:10:40,NAUKRI,FIIDII_BRK_LONG_GENERAL,CE,1259.10,1240.37,1305.93,2.50,2.21,HIGH,NEUTRAL
2026-08-10 10:16:01,JIOFIN,FIIDII_BRK_SHORT_GENERAL,PE,256.40,265.54,233.54,2.50,2.43,HIGH,NEUTRAL
2026-08-10 10:20:58,ICICIGI,FIIDII_BRK_SHORT_GENERAL,PE,1618.70,1709.21,1392.42,2.50,2.62,HIGH,NEUTRAL
2026-08-10 10:25:13,KPITTECH,FIIDII_BRK_LONG_GENERAL,CE,636.90,620.98,676.70,2.50,2.33,HIGH,NEUTRAL
2026-08-10 10:25:14,TCS,FIIDII_BRK_LONG_FII,CE,2469.70,2420.32,2593.16,2.50,2.26,VERY_HIGH,STRONG_BUY
2026-08-10 10:25:14,TCS,FIIDII_BRK_LONG_FII_V2,CE,2469.70,2439.06,2546.30,2.50,2.26,VERY_HIGH,STRONG_BUY
2026-08-10 10:35:54,PFC,FIIDII_BRK_SHORT_GENERAL,PE,400.55,417.00,359.43,2.50,2.24,HIGH,NEUTRAL
2026-08-10 10:35:54,PIDILITIND,FIIDII_BRK_LONG_GENERAL,CE,1670.90,1629.30,1774.91,2.50,2.15,HIGH,NEUTRAL
2026-08-10 10:40:13,SHRIRAMFIN,FIIDII_BRK_LONG_GENERAL,CE,1123.30,1097.10,1188.80,2.50,1.99,HIGH,NEUTRAL
2026-08-10 10:40:13,TATAELXSI,FIIDII_BRK_LONG_GENERAL,CE,3831.20,3729.78,4084.76,2.50,2.26,VERY_HIGH,STRONG_BUY
2026-08-10 10:40:13,TATAELXSI,FIIDII_BRK_LONG_FII,CE,3831.20,3729.78,4084.76,2.50,2.26,VERY_HIGH,STRONG_BUY
2026-08-10 10:40:13,TATAELXSI,FIIDII_BRK_LONG_FII_V2,CE,3831.20,3768.66,3987.55,2.50,2.26,VERY_HIGH,STRONG_BUY
