Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-31,LTM,Ltimindtree Limited,Bought,Bought,4.73%,4675.00
2026-08-31,COALINDIA,Coal India Limited,Bought,Bought,0.25%,401.00
2026-08-31,MPHASIS,MphasiS Limited,Bought,Bought,1.72%,2455.00
2026-08-31,CONCOR,Container Corporation of India Limited,Bought,Bought,4.65%,516.00
2026-08-31,KPITTECH,Kpit Technologies Limited,Bought,Bought,3.64%,609.40
2026-08-31,ATHERENERG,Ather Energy Limited,Bought,Bought,8.09%,1616.30
2026-08-31,CAMS,Computer Age Mngt Ser Ltd,Bought,Bought,2.85%,762.00
2026-08-31,PERSISTENT,Persistent Systems Limited,Bought,Bought,3.91%,5875.00
2026-08-31,FORTIS,Fortis Healthcare Limited,Bought,Bought,1.21%,926.75
2026-08-31,TVSMOTOR,TVS Motor Company Limited,Sold,Bought,-2.39%,4304.20
2026-08-31,INDHOTEL,The Indian Hotels Company Limited,Sold,Bought,-1.68%,706.40
2026-08-31,BDL,Bharat Dynamics Limited,Sold,Bought,-3.16%,1306.00
2026-08-31,GMRAIRPORT,Gmr Airports Limited,Sold,Bought,-0.37%,98.31
2026-08-31,TATAELXSI,Tata Elxsi Limited,Bought,Bought,1.43%,3685.00
2026-08-31,COFORGE,Coforge Limited,Bought,Bought,5.93%,2014.60
2026-08-31,WIPRO,Wipro Limited,Bought,Sold,2.58%,180.95
2026-08-31,ICICIPRULI,ICICI Pru Life,Sold,Sold,-0.78%,506.00
2026-08-31,LICI,Life Insura Corp Of India,Bought,Bought,1.94%,422.00
2026-08-31,HAVELLS,Havells India Limited,Sold,Bought,-1.46%,1222.90
2026-08-31,TCS,Tata Consultancy Services Limited,Bought,Bought,4.16%,2342.00
2026-08-31,PIIND,PI Industries Limited,Sold,Bought,-1.9%,2420.10
2026-08-31,OFSS,Oracle Financial Services Software Limited,Bought,Bought,2.83%,12190.00
2026-08-31,BLUESTARCO,Blue Star Limited,Sold,Bought,-1.14%,1480.00
2026-08-31,ASTRAL,Astral Poly Technik Limited,Bought,Sold,0.2%,1532.30
2026-08-31,AMBUJACEM,Ambuja Cements Limited,Bought,Bought,0.24%,412.05
2026-08-31,NBCC,National Buildings Construction Corporation Limited,Sold,Bought,-1.24%,87.50
2026-08-31,BSE,Bse Limited,Bought,Bought,2.31%,3405.00
2026-08-31,NAUKRI,Info Edge,Bought,Bought,1.8%,1354.00
2026-08-31,GAIL,GAIL,Sold,Bought,-0.78%,171.10
2026-08-31,GLENMARK,Glenmark Pharmaceuticals Limited,Bought,Bought,2.24%,2515.00
2026-08-31,HCLTECH,HCL Technologies Limited,Bought,Bought,2.66%,1316.10
2026-08-31,SUPREMEIND,Supreme Industries Limited,Bought,Bought,1.45%,3636.90
2026-08-31,TECHM,Tech Mahindra Limited,Bought,Bought,3.53%,1640.90
2026-08-31,ITC,ITC Limited,Sold,Bought,-1.12%,266.00
2026-08-31,SHREECEM,Shree Cements Limited,Sold,Bought,-1.96%,24000.00
2026-08-31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Sold,Bought,-0.38%,1707.50
2026-08-31,SAGILITY,Sagility India Limited,Bought,Bought,4.68%,46.34
2026-08-31,YESBANK,Yes Bank Limited,Sold,Bought,-0.72%,22.10
2026-08-31,PREMIERENE,Premier Energies Limited,Bought,Bought,1.39%,1013.90
2026-08-31,DABUR,Dabur India Limited,Sold,Bought,-0.05%,386.00
