Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-02,DELHIVERY,Delhivery Limited,Bought,Bought,7.55%,507.70
2026-07-02,DABUR,Dabur India Limited,Bought,Bought,5.34%,444.75
2026-07-02,KPITTECH,Kpit Technologies Limited,Sold,Bought,-16.98%,557.55
2026-07-02,TATAELXSI,Tata Elxsi Limited,Sold,Bought,-6.32%,3587.80
2026-07-02,JINDALSTEL,Jindal Steel & Power Limited,Sold,Bought,-2.95%,1028.80
2026-07-02,TATAPOWER,Tata Power Company Limited,Sold,Bought,-2.61%,375.45
2026-07-02,DMART,Avenue Supermarts Limited,Sold,Bought,-1.19%,4328.60
2026-07-02,ETERNAL,Eternal Limited,Bought,Bought,5.71%,279.70
2026-07-02,PAGEIND,Page Industries Limited,Bought,Bought,5.41%,43610.00
2026-07-02,CDSL,Central Depo Ser,Bought,Bought,2.06%,1332.40
2026-07-02,ASHOKLEY,Ashok Leyland Limited,Bought,Bought,2.93%,162.32
2026-07-02,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Bought,Bought,2.1%,1848.20
2026-07-02,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Bought,-1.02%,569.95
2026-07-02,PNB,Punjab National Bank,Bought,Bought,0.8%,107.54
2026-07-02,HYUNDAI,Hyundai Motor India Ltd,Bought,Bought,0.67%,1918.30
2026-07-02,ADANIPOWER,Adani Power Limited,Bought,Bought,1.38%,226.86
2026-07-02,PAYTM,One 97 Communications Ltd,Bought,Bought,5.45%,1203.70
2026-07-02,PRESTIGE,Prestige Estates Projects Limited,Bought,Bought,3.88%,1625.30
2026-07-02,ADANIENT,Adani Enterprises Limited,Bought,Bought,3.54%,3143.60
2026-07-02,TECHM,Tech Mahindra Limited,Sold,Bought,-3.03%,1362.20
2026-07-02,PGEL,PG Electroplast Limited,Bought,Bought,3.26%,550.80
2026-07-02,ANGELONE,Angel One Limited,Bought,Bought,2.95%,340.40
2026-07-02,HDFCAMC,Hdfc Amc Limited,Bought,Bought,3.49%,2745.80
2026-07-02,MCX,Multi Commodity Exchange of India Limited,Bought,Bought,4.4%,2962.00
