Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-06,BOSCHLTD,Bosch Limited,Bought,Bought,4.17%,42920.00
2026-08-06,ICICIGI,Icici Lombard Gic Limited,Bought,Bought,2.38%,1684.00
2026-08-06,NYKAA,Fsn E Commerce Ventures,Sold,Bought,-2.09%,335.35
2026-08-06,OIL,Oil India Limited,Sold,Bought,-1.33%,444.00
2026-08-06,JUBLFOOD,Jubilant Foodworks Limited,Bought,Bought,4.3%,485.00
2026-08-06,MCX,Multi Commodity Exchange of India Limited,Sold,Bought,-3.04%,2598.60
2026-08-06,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Bought,3.85%,1121.60
2026-08-06,MPHASIS,MphasiS Limited,Bought,Bought,3.36%,2460.00
2026-08-06,RBLBANK,RBL Bank,Bought,Bought,2.43%,389.80
2026-08-06,AMBUJACEM,Ambuja Cements Limited,Bought,Bought,2.05%,445.00
2026-08-06,BHARTIARTL,Bharti Airtel Limited,Bought,Bought,0.4%,1978.00
2026-08-06,PGEL,PG Electroplast Limited,Sold,Bought,-1.47%,603.00
2026-08-06,NTPC,NTPC Limited,Bought,Bought,1.82%,349.90
2026-08-06,BSE,Bse Limited,Sold,Bought,-2.31%,3534.60
2026-08-06,ALKEM,Alkem Laboratories Ltd.,Bought,Bought,1.58%,5696.50
2026-08-06,BDL,Bharat Dynamics Limited,Sold,Bought,-1.98%,1240.00
2026-08-06,HINDZINC,Hindustan Zinc Limited,Bought,Bought,6.05%,596.95
2026-08-06,RELIANCE,Reliance Industries Limited,Sold,Bought,-0.84%,1280.00
2026-08-06,BANKBARODA,Bank of Baroda,Bought,Bought,0.24%,245.60
2026-08-06,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Sold,Bought,-0.39%,1700.00
2026-08-06,ASTRAL,Astral Poly Technik Limited,Sold,Bought,-0.92%,1434.70
2026-08-06,GODREJCP,Godrej Consumer Products Limited,Bought,Bought,1.02%,1069.00
2026-08-06,ASHOKLEY,Ashok Leyland Limited,Bought,Bought,2.86%,177.00
2026-08-06,COFORGE,Coforge Limited,Bought,Bought,1.55%,1777.00
2026-08-06,NHPC,NHPC Limited,Sold,Bought,-2.36%,78.60
2026-08-06,HDFCBANK,HDFC Bank Limited,Sold,Bought,-0.94%,735.00
2026-08-06,SHRIRAMFIN,Shriram Finance Limited,Bought,Bought,3.23%,1122.40
2026-08-06,INDUSINDBK,IndusInd Bank Limited,Sold,Bought,-0.68%,1019.00
2026-08-06,RADICO,Radico Khaitan Limited,Bought,Bought,2.25%,4550.00
2026-08-06,ONGC,Oil & Natural Gas Corporation Limited,Sold,Bought,-0.74%,240.20
2026-08-06,UNIONBANK,Union Bank of India,Bought,Bought,1.03%,175.80
2026-08-06,CUMMINSIND,Cummins India Limited,Sold,Bought,-1.98%,5440.00
2026-08-06,INDIANB,Indian Bank,Bought,Bought,1.07%,854.00
2026-08-06,SONACOMS,Sona Blw Precision Frgs L,Bought,Bought,3.51%,814.60
2026-08-06,INDHOTEL,The Indian Hotels Company Limited,Sold,Bought,-1.19%,741.05
2026-08-06,INDIGO,INTERGLOBE AVIATIO INR10,Bought,Bought,0.78%,5400.00
2026-08-06,ULTRACEMCO,UltraTech Cement Limited,Bought,Bought,1.16%,12190.00
2026-08-06,MARICO,Marico Limited,Sold,Bought,-2.63%,852.00
2026-08-06,YESBANK,Yes Bank Limited,Sold,Bought,-0.13%,22.97
2026-08-06,LODHA,Macrotech Developers Ltd,Bought,Bought,1.64%,1250.00
2026-08-06,DELHIVERY,Delhivery Limited,Sold,Sold,-2.44%,470.25
2026-08-06,KAYNES,Kaynes Technology Ind Ltd,Bought,Bought,0.59%,3898.00
2026-08-06,GODREJPROP,Godrej Properties Limited,Bought,Bought,3.22%,2099.00
2026-08-06,360ONE,360 One Wam Limited,Bought,Bought,3.2%,1192.00
2026-08-06,PIIND,PI Industries Limited,Bought,Bought,0.88%,2810.00
2026-08-06,BRITANNIA,Britannia Industries Limited,Sold,Bought,-0.69%,5440.00
