Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-07,POLYCAB,Polycab India Limited,Sold,Bought,-5.76%,8300.00
2026-09-07,IEX,Indian Energy Exc Ltd,Sold,Bought,-0.2%,118.91
2026-09-07,HAVELLS,Havells India Limited,Sold,Bought,-3.83%,1154.00
2026-09-07,ANGELONE,Angel One Limited,Bought,Bought,4.83%,299.80
2026-09-07,KEI,KEI Industries Limited,Sold,Bought,-8.95%,4850.00
2026-09-07,HDFCLIFE,Hdfc Stand Life In Co Ltd,Bought,Bought,2.42%,546.40
2026-09-07,HAL,Hindustan Aeronautics Ltd,Bought,Sold,1.9%,4856.00
2026-09-07,SWIGGY,Swiggy Limited,Bought,Bought,2.53%,276.10
2026-09-07,PAYTM,One 97 Communications Ltd,Bought,Sold,1.37%,1659.50
2026-09-07,PIIND,PI Industries Limited,Bought,Sold,1.86%,2465.00
2026-09-07,CUMMINSIND,Cummins India Limited,Sold,Bought,-0.71%,5035.00
2026-09-07,SBILIFE,Sbi Life Insurance Co Ltd,Bought,Sold,3.5%,1775.00
2026-09-07,HINDALCO,Hindalco Industries Limited,Bought,Bought,0.1%,1011.00
2026-09-07,TATAELXSI,Tata Elxsi Limited,Sold,Bought,-0.61%,3558.00
2026-09-07,BIOCON,Biocon Limited,Sold,Bought,-1.14%,397.40
2026-09-07,CROMPTON,Crompton Gr. Con,Bought,Bought,2.6%,232.40
2026-09-07,CIPLA,Cipla Limited,Sold,Bought,-0.7%,1385.00
2026-09-07,BDL,Bharat Dynamics Limited,Sold,Sold,-0.21%,1255.00
2026-09-07,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Bought,1.79%,1166.00
2026-09-07,MAZDOCK,Mazagon Dock Shipbuil Ltd,Bought,Bought,0.04%,2475.00
2026-09-07,CONCOR,Container Corporation of India Limited,Sold,Bought,-0.17%,508.00
2026-09-07,PFC,Power Finance Corporation Limited,Bought,Sold,2.92%,355.60
2026-09-07,MFSL,MAX FINANCIAL SERV LTD,Bought,Sold,0.74%,1548.40
2026-09-07,IDEA,Idea Cellular Limited,Bought,Bought,3.73%,15.02
2026-09-07,PREMIERENE,Premier Energies Limited,Sold,Bought,-0.6%,1002.00
2026-09-07,ICICIPRULI,ICICI Pru Life,Sold,Bought,-0.1%,494.55
2026-09-07,LUPIN,Lupin Limited,Sold,Bought,-1.03%,2110.00
2026-09-07,MOTILALOFS,Motilal Oswal Financial Services Limited,Bought,Bought,2.39%,1037.00
2026-09-07,MAXHEALTH,Max Healthcare Ins Ltd,Sold,Bought,-1.02%,984.80
2026-09-07,SUZLON,Suzlon Energy Limited,Sold,Bought,-1.48%,45.35
2026-09-07,DRREDDY,Dr. Reddy's Laboratories Limited,Sold,Bought,-0.35%,1151.00
2026-09-07,COLPAL,Colgate Palmolive,Sold,Bought,-1.12%,1829.20
2026-09-07,TATASTEEL,Tata Steel Limited,Bought,Bought,2.49%,188.79
2026-09-07,BANKBARODA,Bank of Baroda,Sold,Bought,-0.6%,239.00
2026-09-07,JUBLFOOD,Jubilant Foodworks Limited,Sold,Bought,-0.04%,482.70
2026-09-07,KOTAKBANK,Kotak Mahindra Bank Limited,Bought,Sold,0.8%,424.50
2026-09-07,DMART,Avenue Supermarts Limited,Bought,Bought,0.19%,3770.00
2026-09-07,RVNL,Rail Vikas Nigam Limited,Bought,Bought,1.52%,212.49
2026-09-07,SRF,SRF Limited,Sold,Bought,-2.67%,2547.00
2026-09-07,ICICIGI,Icici Lombard Gic Limited,Sold,Bought,-0.77%,1510.00
2026-09-07,KFINTECH,Kfin Technologies Limited,Bought,Bought,0.13%,928.90
