Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-22,TVSMOTOR,TVS Motor Company Limited,Bought,Bought,5.62%,3792.00
2026-07-22,NHPC,NHPC Limited,Sold,Bought,-0.85%,80.31
2026-07-22,PAYTM,One 97 Communications Ltd,Sold,Bought,-3.49%,1300.50
2026-07-22,SUPREMEIND,Supreme Industries Limited,Sold,Bought,-1.09%,3399.10
2026-07-22,INDUSINDBK,IndusInd Bank Limited,Bought,Bought,2.96%,1063.45
2026-07-22,ADANIENSOL,Adani Energy Solution Ltd,Bought,Bought,0.7%,1741.60
2026-07-22,PHOENIXLTD,The Phoenix Mills Limited,Bought,Bought,0.83%,2091.20
2026-07-22,PAGEIND,Page Industries Limited,Sold,Sold,-0.57%,40095.00
2026-07-22,SHREECEM,Shree Cements Limited,Bought,Bought,1.47%,27245.00
2026-07-22,HYUNDAI,Hyundai Motor India Ltd,Sold,Bought,-0.69%,1958.60
2026-07-22,GODREJCP,Godrej Consumer Products Limited,Sold,Sold,-1%,1054.20
2026-07-22,BAJAJ-AUTO,Bajaj Auto Limited,Sold,Bought,-1.13%,10403.50
2026-07-22,MANAPPURAM,Manappuram Finance Limited,Bought,Bought,4.35%,351.75
2026-07-22,SHRIRAMFIN,Shriram Finance Limited,Bought,Bought,2.52%,1061.50
2026-07-22,NUVAMA,Nuvama Wealth Manage Ltd,Bought,Bought,2.03%,1891.60
2026-07-22,KPITTECH,Kpit Technologies Limited,Bought,Bought,0.58%,564.45
2026-07-22,MUTHOOTFIN,Muthoot Finance Limited,Bought,Sold,3.23%,3079.00
2026-07-22,MAXHEALTH,Max Healthcare Ins Ltd,Sold,Sold,-0.18%,1100.40
2026-07-22,HAL,Hindustan Aeronautics Ltd,Bought,Bought,2.02%,4581.70
2026-07-22,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Sold,-0.65%,561.00
2026-07-22,GODREJPROP,Godrej Properties Limited,Bought,Bought,2.15%,2164.30
2026-07-22,AMBER,Amber Enterprises,Sold,Bought,-3.02%,7622.00
2026-07-22,PIDILITIND,Pidilite Industries Limited,Bought,Sold,1.63%,1591.30
2026-07-22,TITAN,Titan Company Limited,Bought,Bought,0.98%,4688.70
2026-07-22,TATASTEEL,Tata Steel Limited,Bought,Bought,0.45%,187.24
2026-07-22,GRASIM,Grasim Industries Limited,Bought,Sold,1.15%,3179.80
2026-07-22,FORCEMOT,Force Motors Limited,Sold,Bought,-1.31%,17676.00
2026-07-22,HDFCAMC,Hdfc Amc Limited,Sold,Bought,-2.41%,2581.10
2026-07-22,POLICYBZR,Pb Fintech Limited,Sold,Bought,-1.39%,1562.50
2026-07-22,ULTRACEMCO,UltraTech Cement Limited,Bought,Sold,1.6%,12094.00
2026-07-22,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Bought,Bought,0.14%,1846.50
2026-07-22,ASIANPAINT,Asian Paints Limited,Bought,Bought,0.04%,2692.40
2026-07-22,SRF,SRF Limited,Bought,Bought,2.34%,2939.00
2026-07-22,EICHERMOT,Eicher Motors Limited,Bought,Bought,1.67%,7689.50
2026-07-22,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bought,Bought,1.43%,10446.00
2026-07-22,ABCAPITAL,Aditya Birla Capital Ltd.,Bought,Bought,1.97%,409.05
2026-07-22,LTM,Ltimindtree Limited,Sold,Sold,-0.9%,4047.10
2026-07-22,BANDHANBNK,Bandhan Bank Limited,Sold,Bought,-1.19%,208.83
2026-07-22,CGPOWER,Cg Power And Ind Sol Ltd,Bought,Sold,0.26%,914.85
2026-07-22,HEROMOTOCO,Hero MotoCorp Limited,Bought,Sold,1.13%,5034.10
2026-07-22,SIEMENS,Siemens Limited,Sold,Sold,-0.29%,3667.80
2026-07-22,AMBUJACEM,Ambuja Cements Limited,Bought,Sold,0.7%,440.85
2026-07-22,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Sold,Bought,-1.35%,1758.80
2026-07-22,LAURUSLABS,Laurus Labs Limited,Bought,Bought,2.2%,1593.20
2026-07-22,EXIDEIND,Exide Industries Limited,Bought,Sold,1.56%,443.45
