Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-25,VMM,Vishal Mega Mart Limited,Bought,Bought,9.74%,113.50
2026-08-25,SIEMENS,Siemens Limited,Bought,Bought,4.95%,4114.00
2026-08-25,SAIL,Steel Authority of India Limited,Bought,Sold,3.57%,179.65
2026-08-25,CONCOR,Container Corporation of India Limited,Bought,Sold,0.26%,516.40
2026-08-25,GLENMARK,Glenmark Pharmaceuticals Limited,Bought,Bought,3.14%,2390.70
2026-08-25,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Sold,Sold,-1.77%,11120.00
2026-08-25,AMBER,Amber Enterprises,Bought,Sold,0.38%,7378.00
2026-08-25,UNOMINDA,Uno Minda Limited,Sold,Sold,-1.08%,1251.30
2026-08-25,MUTHOOTFIN,Muthoot Finance Limited,Bought,Bought,6.19%,3209.00
2026-08-25,ULTRACEMCO,UltraTech Cement Limited,Sold,Sold,-0.57%,11504.00
2026-08-25,BANDHANBNK,Bandhan Bank Limited,Sold,Sold,-0.69%,173.90
2026-08-25,LAURUSLABS,Laurus Labs Limited,Sold,Sold,-0.06%,1801.00
2026-08-25,DLF,DLF Limited,Bought,Sold,1.61%,689.00
2026-08-25,WIPRO,Wipro Limited,Bought,Sold,0.29%,181.31
2026-08-25,RVNL,Rail Vikas Nigam Limited,Sold,Sold,-1.6%,221.70
2026-08-25,BANKBARODA,Bank of Baroda,Sold,Bought,-2.23%,241.50
2026-08-25,IREDA,Ireda 8.80ncdtr I Sr Iiib,Bought,Bought,0.35%,115.40
2026-08-25,NAUKRI,Info Edge,Sold,Sold,-0.08%,1349.00
2026-08-25,IRFC,Bond 8.00% Pa Tax Free S1,Sold,Bought,-0.47%,85.99
2026-08-25,JSWSTEEL,JSW Steel Limited,Bought,Sold,2.57%,1327.00
2026-08-25,DRREDDY,Dr. Reddy's Laboratories Limited,Bought,Bought,1.3%,1190.00
2026-08-25,CIPLA,Cipla Limited,Bought,Bought,0.4%,1437.90
2026-08-25,UPL,UPL Limited,Bought,Sold,0.51%,571.90
2026-08-25,CANBK,Canara Bank,Sold,Sold,-2.05%,127.30
2026-08-25,TECHM,Tech Mahindra Limited,Bought,Sold,0%,1584.00
2026-08-25,MAXHEALTH,Max Healthcare Ins Ltd,Sold,Sold,-0.95%,990.50
2026-08-25,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Bought,Sold,0.1%,8702.00
2026-08-25,SUNPHARMA,Sun Pharmaceuticals Industries Limited,Bought,Sold,0.4%,1910.00
2026-08-25,VBL,Varun Beverages Limited,Sold,Sold,-0.49%,428.00
2026-08-25,ASHOKLEY,Ashok Leyland Limited,Bought,Sold,0.17%,173.29
2026-08-25,HINDALCO,Hindalco Industries Limited,Bought,Sold,2.37%,1058.50
2026-08-25,NMDC,NMDC Limited,Bought,Sold,1.52%,85.90
2026-08-25,DELHIVERY,Delhivery Limited,Sold,Sold,-1.32%,444.75
2026-08-25,SRF,SRF Limited,Bought,Sold,0.35%,2580.80
