Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-06-22,ABCAPITAL,Aditya Birla Capital Ltd.,Bought,Sold,1.43%,375.90
2026-06-22,INDUSINDBK,IndusInd Bank Limited,Bought,Sold,0.93%,947.45
2026-06-22,UPL,UPL Limited,Sold,Bought,-0.35%,608.65
2026-06-22,JUBLFOOD,Jubilant Foodworks Limited,Sold,Bought,-0.93%,419.00
2026-06-22,AMBER,Amber Enterprises,Sold,Bought,-0.96%,7889.00
2026-06-22,WAAREEENER,Waaree Energies Limited,Bought,Bought,1.94%,3125.40
2026-06-22,BHARTIARTL,Bharti Airtel Limited,Bought,Bought,1.92%,1910.80
2026-06-22,KPITTECH,Kpit Technologies Limited,Bought,Bought,1.89%,760.05
2026-06-22,TCS,Tata Consultancy Services Limited,Sold,Bought,-3.55%,2125.00
2026-06-22,VMM,Vishal Mega Mart Limited,Bought,Sold,0.67%,118.66
2026-06-22,SAMMAANCAP,Sammaan Capital Limited,Bought,Sold,0.11%,174.60
2026-06-22,BAJAJ-AUTO,Bajaj Auto Limited,Sold,Bought,-0.11%,10066.00
2026-06-22,DMART,Avenue Supermarts Limited,Sold,Sold,-0.46%,4286.90
2026-06-22,HCLTECH,HCL Technologies Limited,Sold,Bought,-2.59%,1131.70
2026-06-22,GLENMARK,Glenmark Pharmaceuticals Limited,Bought,Sold,2.77%,2213.60
2026-06-22,MPHASIS,MphasiS Limited,Sold,Bought,-2.96%,2267.50
2026-06-22,ICICIGI,Icici Lombard Gic Limited,Bought,Sold,1.69%,1870.10
2026-06-22,CONCOR,Container Corporation of India Limited,Bought,Sold,0.98%,471.75
2026-06-22,INFY,Infosys Limited,Sold,Bought,-6.75%,1051.40
2026-06-22,BDL,Bharat Dynamics Limited,Bought,Bought,4.7%,1373.40
2026-06-22,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Sold,Bought,-0.37%,1835.30
2026-06-22,AUROPHARMA,Aurobindo Pharma Limited,Bought,Sold,3.75%,1497.80
2026-06-22,TVSMOTOR,TVS Motor Company Limited,Sold,Bought,-0.43%,3442.90
2026-06-22,TECHM,Tech Mahindra Limited,Sold,Bought,-2.63%,1409.60
2026-06-22,TIINDIA,Tube Invest Of India Ltd,Bought,Sold,0.89%,3285.60
2026-06-22,SOLARINDS,Solar Industries India Limited,Bought,Bought,1.62%,18052.00
2026-06-22,PAGEIND,Page Industries Limited,Sold,Bought,-0.51%,39975.00
2026-06-22,LTM,Ltimindtree Limited,Sold,Bought,-4.14%,3832.50
2026-06-22,JIOFIN,Jio Fin Services Ltd,Bought,Bought,0.14%,244.45
2026-06-22,TORNTPHARM,Torrent Pharmaceuticals Limited,Sold,Bought,-0.35%,4429.80
2026-06-22,BAJFINANCE,Bajaj Finance Limited,Bought,Bought,0.31%,961.80
2026-06-22,PERSISTENT,Persistent Systems Limited,Sold,Bought,-2.26%,4829.00
2026-06-22,OFSS,Oracle Financial Services Software Limited,Bought,Sold,2.54%,9638.50
2026-06-22,MANAPPURAM,Manappuram Finance Limited,Sold,Sold,-0.84%,318.65
2026-06-22,DALBHARAT,Odisha Cement Limited,Sold,Sold,-0.49%,1717.20
2026-06-22,WIPRO,Wipro Limited,Sold,Bought,-1.12%,180.80
2026-06-22,BHARATFORG,Bharat Forge Limited,Bought,Bought,1.06%,2041.40
2026-06-22,ADANIENT,Adani Enterprises Limited,Bought,Bought,0.83%,3038.40
2026-06-22,PHOENIXLTD,The Phoenix Mills Limited,Bought,Sold,1.48%,1881.10
2026-06-22,FEDERALBNK,The Federal Bank  Limited,Bought,Sold,1.09%,323.95
2026-06-22,NAUKRI,Info Edge,Sold,Bought,-2.24%,984.25
2026-06-22,SONACOMS,Sona Blw Precision Frgs L,Bought,Bought,1.45%,613.80
2026-06-22,MARUTI,Maruti Suzuki India Limited,Sold,Bought,-0.66%,13395.00
2026-06-22,RBLBANK,RBL Bank,Bought,Sold,2.6%,378.85
2026-06-22,TATAELXSI,Tata Elxsi Limited,Sold,Bought,-1.23%,4065.50
2026-06-22,KOTAKBANK,Kotak Mahindra Bank Limited,Sold,Bought,-0.92%,399.25
2026-06-22,INDUSTOWER,Indus Towers Limited,Sold,Bought,-0.75%,411.20
2026-06-22,POLYCAB,Polycab India Limited,Bought,Bought,1.31%,10083.00
2026-06-22,UNOMINDA,Uno Minda Limited,Bought,Sold,1.61%,1115.60
2026-06-22,INOXWIND,Inox Wind Limited,Bought,Bought,1.56%,90.72
2026-06-22,BANDHANBNK,Bandhan Bank Limited,Sold,Bought,-2.89%,208.09
2026-06-22,APLAPOLLO,APL Apollo Tubes Limited,Bought,Sold,0.57%,1871.60
2026-06-22,COFORGE,Coforge Limited,Sold,Bought,-1.33%,1463.30
2026-06-22,GAIL,GAIL,Sold,Sold,-1.44%,173.90
2026-06-22,NESTLEIND,Nestle India Limited,Bought,Sold,1.03%,1414.80
2026-06-22,SAIL,Steel Authority of India Limited,Sold,Bought,-1.16%,180.05
2026-06-22,SUZLON,Suzlon Energy Limited,Bought,Bought,1.3%,59.20
2026-06-22,DRREDDY,Dr. Reddy's Laboratories Limited,Bought,Bought,0.36%,1272.10
2026-06-22,FORCEMOT,Force Motors Limited,Sold,Bought,-0.13%,18637.00
2026-06-22,TITAN,Titan Company Limited,Bought,Bought,0.73%,4419.90
2026-06-22,JSWSTEEL,JSW Steel Limited,Sold,Bought,-0.48%,1287.70
2026-06-22,KALYANKJIL,Kalyan Jewellers Ind Ltd,Bought,Bought,0.14%,383.50
2026-06-22,SBICARD,Sbi Cards & Pay Ser Ltd,Sold,Bought,-1.29%,616.90
2026-06-22,CIPLA,Cipla Limited,Sold,Bought,-0.27%,1351.80
2026-06-22,ETERNAL,Eternal Limited,Bought,Bought,2.22%,264.30
2026-06-22,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Bought,Sold,0.27%,1693.40
2026-06-22,RELIANCE,Reliance Industries Limited,Sold,Bought,-1.4%,1309.50
2026-06-22,AUBANK,Au Small Finance Bank Ltd,Bought,Sold,0.75%,1033.05
2026-06-22,BPCL,Bharat Petroleum Corporation Limited,Sold,Bought,-3.07%,306.60
2026-06-22,BANKINDIA,Bank of India,Sold,Bought,-0.74%,146.57
2026-06-22,360ONE,360 One Wam Limited,Bought,Bought,0.33%,1145.10
2026-06-22,NAM-INDIA,Nippon L I A M Ltd,Bought,Bought,1.67%,1186.90
2026-06-22,POLICYBZR,Pb Fintech Limited,Bought,Bought,1.17%,1636.70
2026-06-22,TATACONSUM,Tata Consumer Product Ltd,Bought,Sold,0.01%,1111.50
