Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-18,SRF,SRF Limited,Bought,Bought,2.25%,2536.00
2026-09-18,PNBHOUSING,Pnb Housing Fin Ltd.,Sold,Bought,-2.69%,1103.50
2026-09-18,ICICIPRULI,ICICI Pru Life,Bought,Sold,4.36%,490.50
2026-09-18,POLICYBZR,Pb Fintech Limited,Sold,Bought,-3.4%,1765.00
2026-09-18,MAZDOCK,Mazagon Dock Shipbuil Ltd,Sold,Bought,-0.98%,2210.00
2026-09-18,SIEMENS,Siemens Limited,Bought,Bought,0.57%,3763.50
2026-09-18,ETERNAL,Eternal Limited,Bought,Bought,1.69%,322.35
2026-09-18,HDFCLIFE,Hdfc Stand Life In Co Ltd,Bought,Sold,5.05%,557.00
2026-09-18,TVSMOTOR,TVS Motor Company Limited,Bought,Bought,1.7%,4101.70
2026-09-18,INDUSINDBK,IndusInd Bank Limited,Bought,Bought,1.24%,958.20
2026-09-18,ABCAPITAL,Aditya Birla Capital Ltd.,Bought,Sold,2.28%,390.00
2026-09-18,SBILIFE,Sbi Life Insurance Co Ltd,Bought,Sold,4.06%,1766.90
2026-09-18,DRREDDY,Dr. Reddy's Laboratories Limited,Bought,Bought,3.07%,1175.00
2026-09-18,BANKINDIA,Bank of India,Bought,Bought,0.26%,138.17
2026-09-18,LTF,L&t Finance Limited,Bought,Bought,2.3%,302.30
2026-09-18,JUBLFOOD,Jubilant Foodworks Limited,Bought,Sold,1.95%,480.20
2026-09-18,FEDERALBNK,The Federal Bank  Limited,Sold,Bought,-2.65%,332.75
2026-09-18,TECHM,Tech Mahindra Limited,Bought,Bought,0.19%,1561.00
2026-09-18,LODHA,Macrotech Developers Ltd,Bought,Bought,1.44%,1103.10
2026-09-18,ABB,ABB India Limited,Bought,Bought,2.16%,7130.50
2026-09-18,CONCOR,Container Corporation of India Limited,Sold,Bought,-0.13%,488.15
2026-09-18,CDSL,Central Depo Ser,Bought,Sold,3.88%,1349.40
2026-09-18,BIOCON,Biocon Limited,Bought,Sold,1.5%,380.00
2026-09-18,KAYNES,Kaynes Technology Ind Ltd,Bought,Sold,3.99%,3520.00
2026-09-18,MPHASIS,MphasiS Limited,Bought,Bought,0.14%,2320.00
2026-09-18,INDHOTEL,The Indian Hotels Company Limited,Bought,Sold,1.86%,726.65
2026-09-18,ICICIGI,Icici Lombard Gic Limited,Bought,Sold,3.24%,1486.70
2026-09-18,ZYDUSLIFE,Zydus Lifesciences Ltd,Bought,Sold,2.49%,1135.10
2026-09-18,JINDALSTEL,Jindal Steel & Power Limited,Bought,Bought,2.3%,1128.40
2026-09-18,CAMS,Computer Age Mngt Ser Ltd,Bought,Bought,1.31%,714.95
