Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-06-29,MOTHERSON,Samvrdhna Mthrsn Intl Ltd,Bought,Bought,4.93%,151.71
2026-06-29,MANAPPURAM,Manappuram Finance Limited,Bought,Bought,0.05%,318.50
2026-06-29,SUPREMEIND,Supreme Industries Limited,Sold,Bought,-3.89%,3421.90
2026-06-29,SBICARD,Sbi Cards & Pay Ser Ltd,Bought,Bought,2.84%,624.85
2026-06-29,MAXHEALTH,Max Healthcare Ins Ltd,Bought,Bought,3.85%,1123.35
2026-06-29,ONGC,Oil & Natural Gas Corporation Limited,Sold,Bought,-2.88%,233.10
2026-06-29,ASHOKLEY,Ashok Leyland Limited,Bought,Sold,3.72%,160.68
2026-06-29,BANDHANBNK,Bandhan Bank Limited,Sold,Bought,-4.72%,201.76
2026-06-29,MARUTI,Maruti Suzuki India Limited,Bought,Bought,3.75%,13745.00
2026-06-29,FORCEMOT,Force Motors Limited,Bought,Sold,2.47%,18391.00
2026-06-29,ASTRAL,Astral Poly Technik Limited,Sold,Bought,-3.24%,1486.90
2026-06-29,MUTHOOTFIN,Muthoot Finance Limited,Sold,Bought,-3.33%,3025.60
2026-06-29,RADICO,Radico Khaitan Limited,Bought,Bought,1.92%,3829.80
2026-06-29,MOTILALOFS,Motilal Oswal Financial Services Limited,Bought,Sold,1.18%,946.15
2026-06-29,SONACOMS,Sona Blw Precision Frgs L,Sold,Bought,-0.3%,619.25
2026-06-29,HINDALCO,Hindalco Industries Limited,Sold,Bought,-2.4%,953.20
2026-06-29,INDIGO,INTERGLOBE AVIATIO INR10,Bought,Bought,4.66%,5450.00
2026-06-29,PIIND,PI Industries Limited,Sold,Bought,-2.25%,2684.90
2026-06-29,HEROMOTOCO,Hero MotoCorp Limited,Sold,Bought,-0.02%,4896.10
2026-06-29,TVSMOTOR,TVS Motor Company Limited,Bought,Bought,3.75%,3569.70
2026-06-29,BEL,Bharat Electronics Limited,Sold,Bought,-1.54%,407.20
2026-06-29,LT,Larsen & Toubro Limited,Bought,Bought,0.83%,4216.40
2026-06-29,PNBHOUSING,Pnb Housing Fin Ltd.,Sold,Sold,-0.16%,1044.80
2026-06-29,BOSCHLTD,Bosch Limited,Bought,Sold,0.19%,40440.00
2026-06-29,LODHA,Macrotech Developers Ltd,Bought,Bought,1.02%,947.45
2026-06-29,HAVELLS,Havells India Limited,Sold,Sold,-0.67%,1178.30
2026-06-29,JINDALSTEL,Jindal Steel & Power Limited,Sold,Bought,-2.77%,1059.50
2026-06-29,MFSL,MAX FINANCIAL SERV LTD,Sold,Sold,-3.06%,1611.40
2026-06-29,NAUKRI,Info Edge,Sold,Bought,-3.06%,978.85
2026-06-29,CANBK,Canara Bank,Sold,Bought,-0.92%,128.95
2026-06-29,TATACONSUM,Tata Consumer Product Ltd,Bought,Sold,3.02%,1131.30
2026-06-29,KEI,KEI Industries Limited,Sold,Bought,-2.79%,5268.00
2026-06-29,EICHERMOT,Eicher Motors Limited,Bought,Bought,0.34%,7598.00
2026-06-29,KAYNES,Kaynes Technology Ind Ltd,Bought,Sold,1.92%,3264.70
2026-06-29,CONCOR,Container Corporation of India Limited,Sold,Sold,-0.88%,469.80
2026-06-29,HINDUNILVR,Hindustan Unilever Limited,Bought,Sold,0.76%,2174.20
2026-06-29,OIL,Oil India Limited,Sold,Sold,-2.69%,406.80
2026-06-29,NATIONALUM,National Aluminium Company Limited,Sold,Bought,-4.71%,332.15
2026-06-29,AUROPHARMA,Aurobindo Pharma Limited,Bought,Sold,1.61%,1555.20
2026-06-29,HINDZINC,Hindustan Zinc Limited,Sold,Bought,-4.41%,518.05
2026-06-29,APLAPOLLO,APL Apollo Tubes Limited,Sold,Sold,-1.79%,1793.50
2026-06-29,GODFRYPHLP,Godfrey Phillips India Limited,Sold,Sold,-0.05%,2247.30
2026-06-29,VEDL,Vedanta Limited,Sold,Sold,-3.22%,273.45
2026-06-29,PAYTM,One 97 Communications Ltd,Bought,Bought,3.45%,1124.80
2026-06-29,GODREJPROP,Godrej Properties Limited,Bought,Bought,1.65%,1850.60
2026-06-29,ITC,ITC Limited,Sold,Bought,-0.12%,290.00
2026-06-29,PIDILITIND,Pidilite Industries Limited,Bought,Sold,1.14%,1597.00
2026-06-29,MCX,Multi Commodity Exchange of India Limited,Sold,Sold,-0.31%,2831.70
2026-06-29,ULTRACEMCO,UltraTech Cement Limited,Bought,Bought,0.52%,11489.00
2026-06-29,COALINDIA,Coal India Limited,Sold,Sold,-1.44%,435.40
2026-06-29,VMM,Vishal Mega Mart Limited,Sold,Bought,-2.17%,116.39
2026-06-29,HCLTECH,HCL Technologies Limited,Sold,Bought,-1.19%,1100.70
2026-06-29,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Bought,Sold,0.35%,1799.20
2026-06-29,GAIL,GAIL,Sold,Sold,-1.19%,172.85
2026-06-29,SAMMAANCAP,Sammaan Capital Limited,Sold,Sold,-1.09%,169.81
2026-06-29,PNB,Punjab National Bank,Bought,Sold,0.15%,107.87
2026-06-29,ASIANPAINT,Asian Paints Limited,Sold,Sold,-0.84%,2645.20
2026-06-29,SRF,SRF Limited,Sold,Bought,-1.19%,2732.90
2026-06-29,POWERGRID,Power Grid Corporation of India Limited,Sold,Bought,-2.41%,283.90
2026-06-29,PFC,Power Finance Corporation Limited,Sold,Sold,-1.02%,432.65
2026-06-29,PAGEIND,Page Industries Limited,Bought,Sold,0.16%,40950.00
2026-06-29,NTPC,NTPC Limited,Sold,Sold,-1.4%,352.05
2026-06-29,SIEMENS,Siemens Limited,Bought,Sold,1.86%,3627.90
2026-06-29,HDFCAMC,Hdfc Amc Limited,Bought,Sold,0.94%,2649.70
2026-06-29,LICHSGFIN,LIC Housing Finance Limited,Sold,Sold,-0.13%,549.85
