Timestamp,Symbol,Signal_Type,Direction,Breakout_Level,Stop_Level,Target_Level,Body_Percent,Risk_Reward,FII_DII_Signal,Confidence
2026-08-07 09:30:19,KPITTECH,BULLISH_ORB,BUY,631.75,622.05,649.25,1.40,1.80,STRONG_BUY,VERY_HIGH
2026-08-07 09:30:19,TECHM,BULLISH_ORB,BUY,1671.40,1636.40,1734.60,1.93,1.81,BUY,HIGH
2026-08-07 09:30:19,LTM,BULLISH_ORB,BUY,4634.60,4542.00,4819.80,2.04,2.00,STRONG_BUY,VERY_HIGH
2026-08-10 09:30:07,COFORGE,BULLISH_ORB,BUY,1809.00,1783.10,1860.80,1.45,2.00,STRONG_BUY,VERY_HIGH
2026-08-10 09:30:07,DELHIVERY,BULLISH_ORB,BUY,472.75,452.50,505.45,3.58,1.61,STRONG_BUY,VERY_HIGH
2026-08-10 09:30:07,TECHM,BULLISH_ORB,BUY,1659.90,1643.30,1691.70,0.97,1.92,STRONG_BUY,VERY_HIGH
2026-08-10 09:30:07,OIL,BULLISH_ORB,BUY,460.30,448.50,480.90,2.29,1.75,BUY,HIGH
2026-08-10 09:30:07,HEROMOTOCO,BULLISH_ORB,BUY,5915.00,5756.50,6215.00,2.60,1.89,STRONG_BUY,VERY_HIGH
2026-08-11 09:30:24,NAUKRI,BULLISH_ORB,BUY,1318.70,1291.10,1362.10,1.67,1.57,STRONG_BUY,VERY_HIGH
2026-08-11 09:30:24,TITAN,BULLISH_ORB,BUY,5140.80,5090.00,5242.40,1.00,2.00,STRONG_BUY,VERY_HIGH
2026-08-11 09:30:24,POLICYBZR,BULLISH_ORB,BUY,1650.00,1618.00,1710.00,1.85,1.88,BUY,HIGH
2026-08-11 09:30:24,OIL,BULLISH_ORB,BUY,481.10,460.45,514.70,3.62,1.63,STRONG_BUY,VERY_HIGH
2026-08-12 09:30:14,NATIONALUM,BULLISH_ORB,BUY,419.30,398.50,460.90,5.22,2.00,STRONG_BUY,VERY_HIGH
