Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-05,LICI,Life Insura Corp Of India,Sold,Bought,-8.68%,391.30
2026-08-05,KEI,KEI Industries Limited,Bought,Bought,9.49%,5500.00
2026-08-05,PIDILITIND,Pidilite Industries Limited,Sold,Bought,-1.37%,1620.00
2026-08-05,DLF,DLF Limited,Sold,Bought,-3.76%,643.40
2026-08-05,NAM-INDIA,Nippon L I A M Ltd,Bought,Bought,3.18%,1202.00
2026-08-05,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Bought,-3.1%,535.95
2026-08-05,UPL,UPL Limited,Sold,Bought,-6.15%,581.90
2026-08-05,GODREJPROP,Godrej Properties Limited,Sold,Bought,-2.68%,2033.60
2026-08-05,NESTLEIND,Nestle India Limited,Sold,Bought,-0.65%,1520.00
2026-08-05,DABUR,Dabur India Limited,Sold,Bought,-3.79%,409.65
2026-08-05,360ONE,360 One Wam Limited,Bought,Bought,0.63%,1155.00
2026-08-05,UNOMINDA,Uno Minda Limited,Bought,Bought,1.4%,1227.00
2026-08-05,ICICIPRULI,ICICI Pru Life,Sold,Bought,-1.68%,513.55
2026-08-05,CAMS,Computer Age Mngt Ser Ltd,Bought,Bought,2.33%,809.40
2026-08-05,TITAN,Titan Company Limited,Sold,Bought,-1.3%,4935.00
2026-08-05,BLUESTARCO,Blue Star Limited,Sold,Bought,-2.56%,1685.00
2026-08-05,HINDUNILVR,Hindustan Unilever Limited,Sold,Bought,-1.94%,2096.50
2026-08-05,CUMMINSIND,Cummins India Limited,Bought,Bought,0%,5550.00
2026-08-05,HINDZINC,Hindustan Zinc Limited,Bought,Bought,2.91%,562.90
2026-08-05,PHOENIXLTD,The Phoenix Mills Limited,Sold,Sold,-1.16%,1932.30
2026-08-05,PAGEIND,Page Industries Limited,Sold,Bought,-1.12%,39750.00
2026-08-05,HDFCBANK,HDFC Bank Limited,Sold,Bought,-1.46%,742.00
2026-08-05,CGPOWER,Cg Power And Ind Sol Ltd,Bought,Bought,6.53%,880.05
2026-08-05,VEDL,Vedanta Limited,Bought,Bought,0.65%,269.00
2026-08-05,SAIL,Steel Authority of India Limited,Bought,Bought,5.18%,173.55
2026-08-05,POLYCAB,Polycab India Limited,Bought,Bought,1.57%,9176.00
2026-08-05,IREDA,Ireda 8.80ncdtr I Sr Iiib,Sold,Bought,-2.15%,120.35
2026-08-05,VOLTAS,Voltas Limited,Bought,Bought,0.22%,1327.70
2026-08-05,GRASIM,Grasim Industries Limited,Sold,Bought,-3.74%,3138.00
2026-08-05,HDFCAMC,Hdfc Amc Limited,Sold,Bought,-1.71%,2556.00
2026-08-05,TIINDIA,Tube Invest Of India Ltd,Sold,Bought,-0.78%,2744.30
2026-08-05,AMBER,Amber Enterprises,Sold,Bought,-0.07%,7395.00
2026-08-05,KALYANKJIL,Kalyan Jewellers Ind Ltd,Sold,Bought,-2.73%,591.40
2026-08-05,SIEMENS,Siemens Limited,Bought,Bought,2.58%,4000.50
2026-08-05,PRESTIGE,Prestige Estates Projects Limited,Sold,Bought,-4.49%,1595.00
2026-08-05,INDUSTOWER,Indus Towers Limited,Sold,Bought,-1.34%,390.00
2026-08-05,TRENT,Trent Limited,Bought,Bought,1.89%,3107.70
2026-08-05,OBEROIRLTY,Oberoi Realty Limited,Sold,Bought,-4.42%,1778.80
2026-08-05,PREMIERENE,Premier Energies Limited,Bought,Bought,1.53%,1036.30
2026-08-05,SBILIFE,Sbi Life Insurance Co Ltd,Sold,Sold,-0.84%,1899.00
2026-08-05,SRF,SRF Limited,Sold,Bought,-0.1%,2642.30
2026-08-05,HEROMOTOCO,Hero MotoCorp Limited,Bought,Bought,1.61%,5548.00
2026-08-05,OFSS,Oracle Financial Services Software Limited,Bought,Bought,2.36%,11600.00
2026-08-05,TATACONSUM,Tata Consumer Product Ltd,Sold,Bought,-1.62%,1092.00
2026-08-05,KFINTECH,Kfin Technologies Limited,Bought,Bought,0.42%,948.95
2026-08-05,MOTHERSON,Samvrdhna Mthrsn Intl Ltd,Sold,Bought,-2.59%,151.00
