Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-08,NAUKRI,Info Edge,Bought,Sold,13.1%,1159.45
2026-07-08,TRENT,Trent Limited,Sold,Bought,-12.44%,2927.80
2026-07-08,JUBLFOOD,Jubilant Foodworks Limited,Bought,Bought,5.9%,454.95
2026-07-08,COCHINSHIP,Cochin Shipyard Limited,Sold,Bought,-4.03%,1445.70
2026-07-08,TITAN,Titan Company Limited,Bought,Bought,2.67%,4604.20
2026-07-08,KALYANKJIL,Kalyan Jewellers Ind Ltd,Sold,Bought,-7.15%,354.75
2026-07-08,SWIGGY,Swiggy Limited,Bought,Sold,7.21%,266.27
2026-07-08,HAVELLS,Havells India Limited,Bought,Bought,3.68%,1225.00
2026-07-08,GMRAIRPORT,Gmr Airports Limited,Bought,Bought,1.35%,114.98
2026-07-08,TECHM,Tech Mahindra Limited,Bought,Bought,2.92%,1447.50
2026-07-08,INFY,Infosys Limited,Bought,Bought,2.84%,1071.80
2026-07-08,MFSL,MAX FINANCIAL SERV LTD,Bought,Bought,0.77%,1608.90
2026-07-08,ITC,ITC Limited,Sold,Bought,-0.41%,288.75
2026-07-08,INDIANB,Indian Bank,Sold,Bought,-0.12%,785.95
2026-07-08,SBILIFE,Sbi Life Insurance Co Ltd,Bought,Bought,2.49%,1832.30
2026-07-08,JIOFIN,Jio Fin Services Ltd,Bought,Bought,1.55%,243.07
2026-07-08,PGEL,PG Electroplast Limited,Bought,Bought,1.44%,578.60
2026-07-08,PETRONET,Petronet LNG Limited,Bought,Bought,1.49%,279.60
2026-07-08,BPCL,Bharat Petroleum Corporation Limited,Bought,Bought,1.88%,313.95
2026-07-08,MPHASIS,MphasiS Limited,Bought,Bought,2.92%,2374.60
2026-07-08,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Sold,1.83%,1109.70
2026-07-08,TATAELXSI,Tata Elxsi Limited,Bought,Bought,1.33%,3707.20
2026-07-08,LTM,Ltimindtree Limited,Bought,Bought,2.68%,3858.50
2026-07-08,COFORGE,Coforge Limited,Bought,Bought,2.31%,1516.20
2026-07-08,WIPRO,Wipro Limited,Sold,Bought,-0.76%,173.00
