Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-21,PNB,Punjab National Bank,Bought,Bought,5.66%,111.76
2026-07-21,JSWENERGY,JSW Energy Limited,Bought,Sold,4.9%,567.70
2026-07-21,AUBANK,Au Small Finance Bank Ltd,Sold,Bought,-3.58%,993.30
2026-07-21,CONCOR,Container Corporation of India Limited,Bought,Sold,2.49%,499.00
2026-07-21,LTF,L&t Finance Limited,Sold,Bought,-1.35%,305.85
2026-07-21,UNIONBANK,Union Bank of India,Bought,Sold,4.43%,175.93
2026-07-21,LICHSGFIN,LIC Housing Finance Limited,Bought,Bought,0.46%,552.45
2026-07-21,OIL,Oil India Limited,Bought,Bought,4.18%,453.55
2026-07-21,HDFCBANK,HDFC Bank Limited,Sold,Bought,-5.12%,777.60
2026-07-21,BANKINDIA,Bank of India,Bought,Bought,2.64%,146.95
2026-07-21,RBLBANK,RBL Bank,Bought,Bought,0.1%,368.45
2026-07-21,GLENMARK,Glenmark Pharmaceuticals Limited,Bought,Bought,0.18%,2239.50
2026-07-21,CROMPTON,Crompton Gr. Con,Bought,Bought,2.18%,262.10
2026-07-21,SOLARINDS,Solar Industries India Limited,Bought,Bought,3.04%,19028.00
2026-07-21,CIPLA,Cipla Limited,Bought,Bought,1.61%,1441.60
2026-07-21,AUROPHARMA,Aurobindo Pharma Limited,Bought,Bought,1.71%,1559.60
2026-07-21,MANAPPURAM,Manappuram Finance Limited,Bought,Bought,3.58%,337.10
2026-07-21,PREMIERENE,Premier Energies Limited,Bought,Bought,0.02%,1086.40
2026-07-21,CANBK,Canara Bank,Bought,Sold,3.05%,128.82
2026-07-21,AXISBANK,Axis Bank Limited,Sold,Bought,-5.46%,1256.00
2026-07-21,BANKBARODA,Bank of Baroda,Bought,Sold,3.26%,254.85
2026-07-21,RADICO,Radico Khaitan Limited,Bought,Bought,0.84%,4132.40
2026-07-21,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Bought,Sold,0.9%,8905.00
2026-07-21,MARUTI,Maruti Suzuki India Limited,Sold,Bought,-2.09%,13514.00
2026-07-21,WAAREEENER,Waaree Energies Limited,Sold,Bought,-0.51%,2826.20
2026-07-21,BPCL,Bharat Petroleum Corporation Limited,Bought,Bought,0.65%,317.60
2026-07-21,INDIGO,INTERGLOBE AVIATIO INR10,Sold,Sold,-0.37%,5229.00
2026-07-21,PIIND,PI Industries Limited,Bought,Bought,1.28%,2657.40
2026-07-21,ICICIBANK,ICICI Bank Limited,Bought,Bought,1.1%,1460.20
2026-07-21,BOSCHLTD,Bosch Limited,Bought,Sold,0.26%,40960.00
2026-07-21,IDFCFIRSTB,Idfc First Bank Limited,Bought,Bought,1.78%,81.78
2026-07-21,BAJAJFINSV,Bajaj Finserv Limited,Bought,Sold,0.4%,1861.50
2026-07-21,NAUKRI,Info Edge,Bought,Sold,0.36%,1191.50
2026-07-21,TRENT,Trent Limited,Bought,Sold,2.94%,2925.90
2026-07-21,SBIN,State Bank of India,Bought,Bought,1.5%,1060.00
2026-07-21,JINDALSTEL,Jindal Steel & Power Limited,Bought,Sold,0.81%,1033.30
2026-07-21,NTPC,NTPC Limited,Bought,Bought,1.58%,347.25
2026-07-21,TATAPOWER,Tata Power Company Limited,Bought,Sold,1.87%,384.30
2026-07-21,ULTRACEMCO,UltraTech Cement Limited,Bought,Bought,1.5%,11903.00
2026-07-21,KOTAKBANK,Kotak Mahindra Bank Limited,Sold,Bought,-2.03%,382.05
2026-07-21,YESBANK,Yes Bank Limited,Sold,Bought,-2.88%,22.93
2026-07-21,INDIANB,Indian Bank,Bought,Sold,3.14%,858.50
2026-07-21,TIINDIA,Tube Invest Of India Ltd,Sold,Bought,-0.06%,2886.90
2026-07-21,COLPAL,Colgate Palmolive,Bought,Bought,3.46%,2113.10
2026-07-21,ONGC,Oil & Natural Gas Corporation Limited,Bought,Bought,0.93%,249.58
2026-07-21,MANKIND,Mankind Pharma Limited,Bought,Sold,3.28%,2565.80
2026-07-21,PETRONET,Petronet LNG Limited,Bought,Sold,0.46%,275.05
2026-07-21,VBL,Varun Beverages Limited,Bought,Bought,1%,468.00
2026-07-21,GMRAIRPORT,Gmr Airports Limited,Bought,Sold,0.9%,111.54
2026-07-21,ALKEM,Alkem Laboratories Ltd.,Bought,Sold,1.63%,5653.50
