Timestamp,Symbol,Signal_Type,Close,Strength,Reason,OR_High,OR_Low
2026-07-28 09:56:45,M&M,REVERSAL_DOWN,3231.60,51,Bearish reversal: broke below OR_LOW (3233.40) by 25.71%,3240.40,3233.40
2026-07-28 09:56:45,TATACONSUM,REVERSAL_UP,1114.60,100,Bullish reversal: broke above OR_HIGH (1106.40) by 206.82%,1106.40,1102.00
2026-07-28 09:56:45,INDIGO,REVERSAL_UP,5265.50,100,Bullish reversal: broke above OR_HIGH (5250.50) by 96.77%,5250.50,5235.00
2026-07-28 09:56:45,MUTHOOTFIN,REVERSAL_DOWN,2972.50,100,Bearish reversal: broke below OR_LOW (2983.50) by 108.80%,2996.00,2983.50
2026-07-28 09:56:45,LUPIN,REVERSAL_UP,2415.40,3,Bullish reversal: broke above OR_HIGH (2415.20) by 1.68%,2415.20,2403.30
2026-07-28 09:58:48,AMBUJACEM,REVERSAL_DOWN,429.90,72,Bearish reversal: broke below OR_LOW (430.40) by 36.11%,432.20,430.40
2026-07-28 09:58:48,CDSL,REVERSAL_UP,1332.00,49,Bullish reversal: broke above OR_HIGH (1331.50) by 24.49%,1331.50,1326.60
2026-07-28 09:58:48,GRASIM,REVERSAL_UP,3124.80,89,Bullish reversal: broke above OR_HIGH (3122.60) by 44.44%,3122.60,3114.50
2026-07-28 10:00:52,IOC,REVERSAL_DOWN,141.41,21,Bearish reversal: broke below OR_LOW (141.55) by 10.53%,142.88,141.55
2026-07-28 10:00:52,LICI,REVERSAL_DOWN,424.70,18,Bearish reversal: broke below OR_LOW (424.75) by 8.82%,426.45,424.75
2026-07-28 10:05:00,HINDUNILVR,REVERSAL_DOWN,2089.60,100,Bearish reversal: broke below OR_LOW (2178.90) by 579.88%,2195.80,2178.90
2026-07-28 10:11:11,CHOLAFIN,REVERSAL_DOWN,1785.10,84,Bearish reversal: broke below OR_LOW (1786.50) by 42.22%,1791.00,1786.50
2026-07-28 10:11:11,NMDC,REVERSAL_UP,83.47,100,Bullish reversal: broke above OR_HIGH (83.46) by 50.00%,83.46,83.20
2026-07-28 10:21:40,INDIANB,REVERSAL_UP,836.55,100,Bullish reversal: broke above OR_HIGH (833.00) by 55.91%,833.00,826.65
2026-07-28 10:26:27,EXIDEIND,REVERSAL_UP,430.00,12,Bullish reversal: broke above OR_HIGH (429.75) by 5.88%,429.75,422.10
2026-07-28 10:28:31,HAL,REVERSAL_DOWN,4526.00,100,Bearish reversal: broke below OR_LOW (4575.00) by 204.17%,4599.00,4575.00
2026-07-28 10:36:49,INDHOTEL,REVERSAL_UP,738.85,23,Bullish reversal: broke above OR_HIGH (738.50) by 11.67%,738.50,735.50
2026-07-28 10:40:56,BANKINDIA,REVERSAL_UP,137.55,78,Bullish reversal: broke above OR_HIGH (137.40) by 39.22%,137.40,136.89
2026-07-28 10:40:56,TATASTEEL,REVERSAL_UP,184.60,80,Bullish reversal: broke above OR_HIGH (184.51) by 40.00%,184.51,183.91
2026-07-28 10:40:56,BANDHANBNK,REVERSAL_UP,168.64,14,Bullish reversal: broke above OR_HIGH (168.63) by 7.20%,168.63,167.38
2026-07-28 10:43:00,ITC,REVERSAL_DOWN,285.70,72,Bearish reversal: broke below OR_LOW (285.80) by 35.90%,287.75,285.80
2026-07-28 10:45:04,KALYANKJIL,REVERSAL_UP,572.55,100,Bullish reversal: broke above OR_HIGH (569.55) by 208.16%,569.55,567.10
2026-07-28 10:51:15,NATIONALUM,REVERSAL_UP,338.15,70,Bullish reversal: broke above OR_HIGH (337.85) by 35.14%,337.85,336.00
2026-07-28 10:53:19,INFY,REVERSAL_UP,1110.70,100,Bullish reversal: broke above OR_HIGH (1109.30) by 58.54%,1109.30,1105.20
2026-07-28 11:05:41,BAJAJFINSV,REVERSAL_UP,1924.10,40,Bullish reversal: broke above OR_HIGH (1922.60) by 19.81%,1922.60,1912.00
2026-07-29 09:55:51,JINDALSTEL,REVERSAL_UP,1086.50,100,Bullish reversal: broke above OR_HIGH (1068.20) by 305.80%,1068.20,1061.30
2026-07-29 09:55:51,PATANJALI,REVERSAL_DOWN,343.70,52,Bearish reversal: broke below OR_LOW (344.00) by 25.86%,346.90,344.00
2026-07-29 09:55:51,IOC,REVERSAL_UP,140.53,100,Bullish reversal: broke above OR_HIGH (140.20) by 97.73%,140.20,139.76
2026-07-29 09:55:51,LICHSGFIN,REVERSAL_DOWN,548.00,100,Bearish reversal: broke below OR_LOW (548.50) by 65.71%,550.25,548.50
2026-07-29 09:55:51,NATIONALUM,REVERSAL_UP,338.20,100,Bullish reversal: broke above OR_HIGH (334.15) by 354.84%,334.15,332.60
2026-07-29 09:55:51,TMPV,REVERSAL_UP,330.05,100,Bullish reversal: broke above OR_HIGH (328.90) by 56.10%,328.90,326.85
2026-07-29 09:55:51,NTPC,REVERSAL_UP,345.05,44,Bullish reversal: broke above OR_HIGH (344.95) by 21.88%,344.95,343.35
2026-07-29 09:55:51,BANKINDIA,REVERSAL_UP,137.65,100,Bullish reversal: broke above OR_HIGH (137.27) by 56.72%,137.27,136.60
2026-07-29 09:55:51,PETRONET,REVERSAL_UP,277.65,100,Bullish reversal: broke above OR_HIGH (276.95) by 54.29%,276.95,275.20
