Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-08-24,PRESTIGE,Prestige Estates Projects Limited,Bought,Bought,2.87%,1631.00
2026-08-24,BRITANNIA,Britannia Industries Limited,Sold,Bought,-3.3%,5365.00
2026-08-24,CDSL,Central Depo Ser,Bought,Bought,3.19%,1388.90
2026-08-24,CROMPTON,Crompton Gr. Con,Bought,Bought,0%,252.00
2026-08-24,CUMMINSIND,Cummins India Limited,Sold,Bought,-1.87%,5107.50
2026-08-24,INDIGO,INTERGLOBE AVIATIO INR10,Sold,Bought,-1.06%,5110.00
2026-08-24,POWERGRID,Power Grid Corporation of India Limited,Bought,Bought,2.87%,272.40
2026-08-24,ICICIPRULI,ICICI Pru Life,Bought,Sold,2.59%,515.00
2026-08-24,VEDL,Vedanta Limited,Bought,Bought,4.1%,279.00
2026-08-24,CIPLA,Cipla Limited,Sold,Sold,-0.4%,1432.20
2026-08-24,HINDZINC,Hindustan Zinc Limited,Bought,Bought,3.66%,594.90
2026-08-24,SRF,SRF Limited,Sold,Sold,-0.1%,2571.90
2026-08-24,BHARATFORG,Bharat Forge Limited,Bought,Sold,0.05%,2063.00
2026-08-24,PREMIERENE,Premier Energies Limited,Bought,Bought,1.25%,1053.00
2026-08-24,COALINDIA,Coal India Limited,Bought,Bought,0.67%,405.20
2026-08-24,BAJAJFINSV,Bajaj Finserv Limited,Bought,Sold,0.82%,2032.50
2026-08-24,HDFCLIFE,Hdfc Stand Life In Co Ltd,Bought,Sold,2.36%,554.80
2026-08-24,SIEMENS,Siemens Limited,Bought,Sold,1.03%,3920.00
2026-08-24,TVSMOTOR,TVS Motor Company Limited,Bought,Sold,0%,4390.00
2026-08-24,BEL,Bharat Electronics Limited,Bought,Sold,1.12%,414.00
2026-08-24,COCHINSHIP,Cochin Shipyard Limited,Sold,Sold,-0.57%,1480.50
2026-08-24,ASTRAL,Astral Poly Technik Limited,Sold,Bought,-0.23%,1528.50
2026-08-24,PIDILITIND,Pidilite Industries Limited,Sold,Sold,-0.66%,1649.00
2026-08-24,HAL,Hindustan Aeronautics Ltd,Bought,Sold,0.04%,5000.00
2026-08-24,KOTAKBANK,Kotak Mahindra Bank Limited,Bought,Sold,1.37%,402.80
2026-08-24,GAIL,GAIL,Sold,Sold,-0.29%,172.00
2026-08-24,SUNPHARMA,Sun Pharmaceuticals Industries Limited,Sold,Sold,-0.08%,1902.40
2026-08-24,PNB,Punjab National Bank,Sold,Sold,-1.23%,116.55
2026-08-24,TRENT,Trent Limited,Sold,Sold,-1.55%,2924.00
2026-08-24,LODHA,Macrotech Developers Ltd,Bought,Bought,0.16%,1242.00
2026-08-24,NTPC,NTPC Limited,Bought,Bought,0.74%,340.00
2026-08-24,AMBUJACEM,Ambuja Cements Limited,Bought,Sold,0.85%,414.50
2026-08-24,HEROMOTOCO,Hero MotoCorp Limited,Sold,Sold,-0.1%,5735.00
2026-08-24,POWERINDIA,Abb Power Pro N Sys Ind L,Bought,Sold,2.03%,34190.00
