Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-02,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Bought,0.29%,1152.00
2026-09-02,KALYANKJIL,Kalyan Jewellers Ind Ltd,Sold,Bought,-4.66%,573.00
2026-09-02,MPHASIS,MphasiS Limited,Bought,Bought,3.22%,2505.50
2026-09-02,HEROMOTOCO,Hero MotoCorp Limited,Bought,Bought,1.93%,5555.00
2026-09-02,KEI,KEI Industries Limited,Sold,Bought,-6.83%,5348.00
2026-09-02,UNOMINDA,Uno Minda Limited,Sold,Bought,-0.13%,1274.40
2026-09-02,LTF,L&t Finance Limited,Sold,Bought,-3.72%,309.05
2026-09-02,MARUTI,Maruti Suzuki India Limited,Sold,Bought,-4.41%,12950.00
2026-09-02,ADANIGREEN,Adani Green Energy Ltd,Bought,Bought,4.12%,1265.00
2026-09-02,FORCEMOT,Force Motors Limited,Bought,Sold,1.12%,17722.00
2026-09-02,POLYCAB,Polycab India Limited,Sold,Bought,-5.82%,8895.50
2026-09-02,MAXHEALTH,Max Healthcare Ins Ltd,Sold,Sold,-3.75%,1003.00
2026-09-02,UPL,UPL Limited,Bought,Sold,0.86%,567.10
2026-09-02,360ONE,360 One Wam Limited,Sold,Bought,-0.8%,1165.60
2026-09-02,INFY,Infosys Limited,Bought,Bought,1.96%,1156.00
