Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-15,PAYTM,One 97 Communications Ltd,Bought,Bought,3.94%,1807.50
2026-09-15,COCHINSHIP,Cochin Shipyard Limited,Sold,Bought,-9.17%,1381.00
2026-09-15,ALKEM,Alkem Laboratories Ltd.,Sold,Bought,-0.98%,5087.50
2026-09-15,YESBANK,Yes Bank Limited,Bought,Bought,5.29%,23.48
2026-09-15,PIIND,PI Industries Limited,Sold,Bought,-4.48%,2259.00
2026-09-15,LICHSGFIN,LIC Housing Finance Limited,Bought,Bought,1.92%,562.90
2026-09-15,GODREJPROP,Godrej Properties Limited,Sold,Bought,-6.62%,1748.00
2026-09-15,INDUSTOWER,Indus Towers Limited,Bought,Sold,4.3%,388.00
2026-09-15,MANKIND,Mankind Pharma Limited,Bought,Bought,1.86%,2280.00
2026-09-15,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bought,Sold,1.29%,11134.00
2026-09-15,IEX,Indian Energy Exc Ltd,Sold,Bought,-2.36%,113.88
2026-09-15,DMART,Avenue Supermarts Limited,Sold,Bought,-0.05%,3688.00
2026-09-15,INDUSINDBK,IndusInd Bank Limited,Sold,Bought,-1.52%,978.20
2026-09-15,SOLARINDS,Solar Industries India Limited,Sold,Bought,-0.36%,22290.00
2026-09-15,PRESTIGE,Prestige Estates Projects Limited,Sold,Bought,-2.95%,1498.00
2026-09-15,MUTHOOTFIN,Muthoot Finance Limited,Sold,Bought,-1.74%,2792.10
2026-09-15,SAGILITY,Sagility India Limited,Bought,Bought,1.78%,45.20
2026-09-15,JIOFIN,Jio Fin Services Ltd,Sold,Bought,-0.15%,229.90
2026-09-15,VEDL,Vedanta Limited,Sold,Bought,-1.99%,263.70
2026-09-15,SUPREMEIND,Supreme Industries Limited,Sold,Bought,-4.15%,3364.40
2026-09-15,MOTHERSON,Samvrdhna Mthrsn Intl Ltd,Bought,Sold,0.77%,164.45
2026-09-15,OBEROIRLTY,Oberoi Realty Limited,Sold,Sold,-2.84%,1741.10
2026-09-15,ANGELONE,Angel One Limited,Bought,Bought,2.59%,305.00
2026-09-15,COLPAL,Colgate Palmolive,Sold,Bought,-0.61%,1797.40
2026-09-15,HINDALCO,Hindalco Industries Limited,Sold,Bought,-3.21%,981.50
2026-09-15,NESTLEIND,Nestle India Limited,Sold,Bought,-0.21%,1383.30
2026-09-15,BANDHANBNK,Bandhan Bank Limited,Bought,Sold,1.45%,176.52
2026-09-15,LAURUSLABS,Laurus Labs Limited,Bought,Bought,1.23%,1969.00
2026-09-15,ONGC,Oil & Natural Gas Corporation Limited,Sold,Bought,-2.01%,232.50
2026-09-15,ICICIGI,Icici Lombard Gic Limited,Sold,Bought,-0.35%,1459.80
2026-09-15,ABB,ABB India Limited,Sold,Bought,-0.75%,7274.00
2026-09-15,CIPLA,Cipla Limited,Sold,Sold,-0.53%,1366.00
2026-09-15,APLAPOLLO,APL Apollo Tubes Limited,Sold,Bought,-1.88%,2153.50
2026-09-15,LODHA,Macrotech Developers Ltd,Sold,Bought,-4%,1116.90
2026-09-15,KFINTECH,Kfin Technologies Limited,Bought,Sold,0.11%,900.00
2026-09-15,KOTAKBANK,Kotak Mahindra Bank Limited,Bought,Sold,0.59%,419.00
2026-09-15,HINDPETRO,Hindustan Petroleum Corporation Limited,Sold,Bought,-0.18%,352.00
2026-09-15,NATIONALUM,National Aluminium Company Limited,Sold,Bought,-3.31%,361.00
2026-09-15,BSE,Bse Limited,Bought,Bought,2.36%,3384.00
2026-09-15,PHOENIXLTD,The Phoenix Mills Limited,Bought,Sold,0%,1890.00
2026-09-15,MOTILALOFS,Motilal Oswal Financial Services Limited,Bought,Sold,1.13%,1026.50
2026-09-15,HDFCAMC,Hdfc Amc Limited,Sold,Bought,-1.23%,2403.90
2026-09-15,DLF,DLF Limited,Sold,Bought,-1.73%,644.50
2026-09-15,PATANJALI,Patanjali Foods Limited,Bought,Sold,0.37%,341.00
2026-09-15,BAJAJ-AUTO,Bajaj Auto Limited,Sold,Bought,-0.76%,11678.00
2026-09-15,WAAREEENER,Waaree Energies Limited,Bought,Sold,3.02%,2625.00
2026-09-15,BHEL,Bharat Heavy Electricals Limited,Bought,Sold,0.35%,431.00
2026-09-15,VMM,Vishal Mega Mart Limited,Sold,Bought,-1.63%,101.71
2026-09-15,SHREECEM,Shree Cements Limited,Sold,Bought,-0.94%,22570.00
2026-09-15,HINDZINC,Hindustan Zinc Limited,Sold,Bought,-2.89%,576.45
2026-09-15,POLYCAB,Polycab India Limited,Sold,Bought,-1.4%,8241.00
2026-09-15,GAIL,GAIL,Sold,Sold,-0.5%,173.62
2026-09-15,PREMIERENE,Premier Energies Limited,Bought,Sold,0.65%,974.20
2026-09-15,EICHERMOT,Eicher Motors Limited,Sold,Sold,-2.17%,7530.00
2026-09-15,DIVISLAB,Divi's Laboratories Limited,Sold,Bought,-1.23%,9322.00
2026-09-15,MARUTI,Maruti Suzuki India Limited,Sold,Bought,-1.51%,12400.00
2026-09-15,SWIGGY,Swiggy Limited,Sold,Bought,-0.29%,278.20
