Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-07,GODREJCP,Godrej Consumer Products Limited,Bought,Bought,2.2%,1100.60
2026-07-07,RADICO,Radico Khaitan Limited,Bought,Bought,5.51%,4106.70
2026-07-07,MARICO,Marico Limited,Sold,Bought,-2.04%,838.55
2026-07-07,KAYNES,Kaynes Technology Ind Ltd,Bought,Bought,5.55%,3333.80
2026-07-07,DIXON,Dixon Techno,Bought,Bought,6.81%,13304.00
2026-07-07,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Bought,Bought,3.39%,1850.50
2026-07-07,VBL,Varun Beverages Limited,Sold,Bought,-4.06%,494.85
2026-07-07,ADANIPOWER,Adani Power Limited,Sold,Bought,-0.87%,219.85
2026-07-07,AUBANK,Au Small Finance Bank Ltd,Bought,Bought,0.28%,1061.40
2026-07-07,MANAPPURAM,Manappuram Finance Limited,Bought,Bought,1.58%,328.20
2026-07-07,UNOMINDA,Uno Minda Limited,Bought,Bought,1.06%,1138.00
2026-07-07,HDFCBANK,HDFC Bank Limited,Bought,Bought,3.6%,829.85
2026-07-07,PHOENIXLTD,The Phoenix Mills Limited,Bought,Bought,2.84%,2105.80
2026-07-07,BANDHANBNK,Bandhan Bank Limited,Bought,Bought,3.38%,207.39
2026-07-07,SUPREMEIND,Supreme Industries Limited,Bought,Bought,0.16%,3234.00
2026-07-07,MANKIND,Mankind Pharma Limited,Bought,Bought,1.68%,2528.60
2026-07-07,LTF,L&t Finance Limited,Bought,Bought,3.73%,327.00
2026-07-07,NYKAA,Fsn E Commerce Ventures,Bought,Bought,1.03%,313.50
2026-07-07,BLUESTARCO,Blue Star Limited,Bought,Bought,0.92%,1597.80
2026-07-07,PGEL,PG Electroplast Limited,Bought,Bought,1.4%,570.40
2026-07-07,ONGC,Oil & Natural Gas Corporation Limited,Bought,Bought,2.55%,243.90
2026-07-07,INDUSTOWER,Indus Towers Limited,Bought,Bought,0.85%,386.55
2026-07-07,LODHA,Macrotech Developers Ltd,Bought,Sold,5.05%,1057.00
2026-07-07,DABUR,Dabur India Limited,Bought,Bought,1.22%,449.75
2026-07-07,MOTHERSON,Samvrdhna Mthrsn Intl Ltd,Sold,Bought,-0.66%,145.33
2026-07-07,SONACOMS,Sona Blw Precision Frgs L,Bought,Bought,1.12%,667.50
2026-07-07,OBEROIRLTY,Oberoi Realty Limited,Bought,Bought,0.98%,1953.40
2026-07-07,ADANIENSOL,Adani Energy Solution Ltd,Bought,Bought,3.44%,1622.80
2026-07-07,UNITDSPR,United Spirits Limited,Bought,Bought,2.44%,1427.30
2026-07-07,COLPAL,Colgate Palmolive,Bought,Bought,1.59%,2079.60
2026-07-07,LUPIN,Lupin Limited,Bought,Bought,3.18%,2476.00
2026-07-07,PFC,Power Finance Corporation Limited,Sold,Bought,-1.1%,421.10
2026-07-07,ASTRAL,Astral Poly Technik Limited,Bought,Bought,0.29%,1389.00
2026-07-07,NBCC,National Buildings Construction Corporation Limited,Sold,Bought,-2.73%,99.57
2026-07-07,BANKINDIA,Bank of India,Sold,Bought,-2.95%,139.80
2026-07-07,PATANJALI,Patanjali Foods Limited,Bought,Bought,0.37%,415.50
2026-07-07,VOLTAS,Voltas Limited,Bought,Bought,0.34%,1284.50
2026-07-07,CROMPTON,Crompton Gr. Con,Bought,Bought,0.55%,272.30
2026-07-07,JIOFIN,Jio Fin Services Ltd,Sold,Bought,-0.16%,239.35
2026-07-07,PRESTIGE,Prestige Estates Projects Limited,Bought,Sold,2.13%,1703.50
